municerca,year_week,distancia_grande_m,distancia_rio,distancia_verde_m,edad_diagnostico,sexo,casos,longitude,latitude,t2m,d2m,tp,t2m_min,t2m_max,ws10,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,NVDI,casos_sum_2w,casos_sum_3w,casos_sum_4w,casos_lag_1,casos_lag_2,casos_lag_3,casos_lag_4,casos_ma_4,mes,t2m_mean_1w,t2m_mean_2w,t2m_mean_3w,t2m_mean_4w,d2m_mean_1w,d2m_mean_2w,d2m_mean_3w,d2m_mean_4w,tp_mean_1w,tp_sum_1w,tp_mean_2w,tp_sum_2w,tp_mean_3w,tp_sum_3w,tp_mean_4w,tp_sum_4w,t2m_min_mean_1w,t2m_min_mean_2w,t2m_min_mean_3w,t2m_min_mean_4w,t2m_max_mean_1w,t2m_max_mean_2w,t2m_max_mean_3w,t2m_max_mean_4w,ws10_mean_1w,ws10_mean_2w,ws10_mean_3w,ws10_mean_4w,Vecinos_total,Vecinos_total_x,Vecinos_total_y
CGC 1,2024-W01,2443.666098606336,3092.2850067391187,378.439032276691,29.37929721689968,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,297.56129237583707,291.7994166782924,0.0007551056998116,293.7834777832031,303.0244707380022,1.95969516295722,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.4158731575024753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,297.7054922921317,296.32554408482144,297.3315022786458,296.391957964216,288.1481454031808,289.4620361328125,290.50850132533486,289.45250156947543,2.043587820870536e-07,2.043587820870536e-07,0.00016547952379494354,0.0003309590475898871,0.00011576357341944804,0.0003472907202583441,9.236591202869736e-05,0.0003694636481147894,292.3994794573103,291.95704650878906,293.0441749209449,292.1463830130441,303.46200125558033,301.4313071114676,302.48780459449404,301.5244031633649,3.2095143407438447,2.8420033190448404,3.1609330407385143,2.989995524456707,0.0,,
CGC 1,2024-W02,2443.666098606336,3092.2850067391187,378.439032276691,29.37929721689968,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,297.30882481166293,292.21789986746654,0.0002164840698242,293.257088797433,302.0601065499442,1.951616780877761,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.4158731575024753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,297.56129237583707,297.6333923339844,296.73746018182663,297.3889498029436,291.7994166782924,289.97378104073664,290.24116298130576,290.8312301635742,0.0007551056998116,0.0007551056998116,0.00037765502929684356,0.0007553100585936871,0.00036202158246716236,0.0010860647474014871,0.00027559910501748604,0.0011023964200699442,293.7834777832031,293.0914786202567,292.56585693359375,293.2290006365095,303.0244707380022,303.24323599679127,301.9623616536458,302.6219711303711,1.95969516295722,2.584604751850532,2.547900600348967,2.8606235712931904,2.0,,
CGC 1,2024-W03,2443.666098606336,3092.2850067391187,378.439032276691,29.37929721689968,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,296.18341064453125,290.05933053152904,0.0002693959644862,290.9875749860491,301.8758675711496,2.16586637189485,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.4158731575024753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,297.30882481166293,297.43505859375,297.52520315987726,296.8803013392857,292.21789986746654,292.0086582728795,290.7218206496466,290.73534720284596,0.0002164840698242,0.0002164840698242,0.00048579488481790005,0.0009715897696358001,0.0003239313761392957,0.0009717941284178871,0.00032563720430642176,0.001302548817225687,293.257088797433,293.52028329031805,293.1466820126488,292.73866489955356,302.0601065499442,302.54228864397317,302.8488595145089,301.9867978777204,1.951616780877761,1.9556559719174904,2.3736087615262753,2.3988296454811655,3.0,,
CGC 1,2024-W04,2347.6404694736234,3059.782386196736,473.7358933927719,41.5,1.0,2.0,-63.228003772165074,-32.39590263595998,296.74401419503346,288.970947265625,0.0,291.31212942940846,302.91782924107144,3.305443685908767,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.4158731575024753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,296.18341064453125,296.7461177280971,297.01784261067706,297.18975503104076,290.05933053152904,291.1386151994978,291.35888235909596,290.5561981201172,0.0002693959644862,0.0002693959644862,0.00024294001715520006,0.0004858800343104001,0.00041366191137400004,0.0012409857341220002,0.00031029752322602177,0.001241190092904087,290.9875749860491,292.12233189174106,292.6760471888951,292.60690525599887,301.8758675711496,301.9679870605469,302.32014828636534,302.6056115286691,2.16586637189485,2.0587415763863053,2.025726105243277,2.321673164118419,4.0,,
CGC 1,2024-W05,2443.666098606336,3092.2850067391187,378.439032276691,29.37929721689968,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,299.9904305594308,291.28747122628346,3.678458077566964e-06,294.4695390973772,306.9908447265625,2.929221750957656,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.3871868579666007,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.5,1,296.74401419503346,296.4637124197824,296.74541655040923,296.94938550676613,288.970947265625,289.515138898577,290.4160592215402,290.7618985857282,0.0,0.0,0.00013469798224310006,0.0002693959644862001,0.00016196001143680005,0.0004858800343104001,0.0003102464335305,0.001240985734122,291.31212942940846,291.14985220772877,291.8522644042968,292.33506774902344,302.91782924107144,302.3968484061105,302.28460112072173,302.46956852504184,3.305443685908767,2.7356550289018084,2.4743089462271257,2.3456555004096495,2.0,,
CGC 1,2024-W06,2338.787349394053,2996.8307610608967,467.5636169084037,25.25,0.75,4.0,-63.228003772165074,-32.39590263595998,300.17936052594865,294.87156459263394,0.0004271950040544,296.5510471888951,305.6399405343192,2.5242326621330884,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.3871868579666007,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.5,2,299.9904305594308,298.3672223772321,297.6392851329985,297.55667005266463,291.28747122628346,290.12920924595426,290.1059163411458,290.633912222726,3.678458077566964e-06,3.678458077566964e-06,1.8392290387835362e-06,3.6784580775670723e-06,9.102480752125569e-05,0.00027307442256376707,0.00012238962309699177,0.0004895584923879671,294.4695390973772,292.89083426339283,292.2564145042782,292.506583077567,306.9908447265625,304.954336983817,303.92818051292784,303.46116202218195,2.929221750957656,3.117332718433212,2.8001772695870915,2.5880371474097585,5.0,,
CGC 1,2024-W07,2506.361709683712,2901.990636227444,558.6963557596963,37.5,0.5,2.0,-63.228003772165074,-32.39590263595998,294.7005615234375,289.76744297572543,0.000407304082598,289.984370640346,300.31748744419644,2.4570045315690545,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.3871868579666007,4.0,6.0,6.0,4.0,0.0,2.0,0.0,1.5,2,300.17936052594865,300.08489554268976,298.9712684268043,298.274303981236,294.87156459263394,293.0795179094587,291.70999436151413,291.2973284040179,0.0004271950040544,0.0004271950040544,0.00021543673106598352,0.00043087346213196705,0.00014362448737732236,0.00043087346213196705,0.00017506735665454178,0.0007002694266181671,296.5510471888951,295.51029314313615,294.11090523856024,293.33007267543246,305.6399405343192,306.31539263044084,305.18287150065106,304.3561205182757,2.5242326621330884,2.7267272065453723,2.919632699666504,2.7311911177235904,9.0,,
CGC 1,2024-W08,2385.4249802510326,3232.3125853961037,346.6525350903429,25.666666666666668,0.3333333333333333,3.0,-63.228003772165074,-32.39590263595998,296.29522705078125,292.1721714564732,0.000480260167803,292.42288643973217,301.45755440848217,2.278667316156951,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.3871868579666007,6.0,6.0,8.0,2.0,4.0,0.0,2.0,2.0,2,294.7005615234375,297.43996102469305,298.29011753627236,297.9035917009626,289.76744297572543,292.3195037841797,291.97549293154765,291.224356515067,0.000407304082598,0.000407304082598,0.0004172495433262001,0.0008344990866524001,0.000279392514909989,0.000838177544729967,0.00020954438618249176,0.000838177544729967,289.984370640346,293.2677089146206,293.6683189755394,293.0792715890067,300.31748744419644,302.9787139892578,304.3160909016927,303.9665254865374,2.4570045315690545,2.4906185968510717,2.6368196482199333,2.8039756576421415,15.0,,
CGC 1,2024-W09,2386.0507292948114,3098.7829699937765,358.59482942542184,28.2,0.4,5.0,-63.228003772165074,-32.39590263595998,297.2680140904018,293.87894112723217,1.0405267987932478e-05,294.3114580426897,301.41894967215404,1.9366994703521023,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.4297861996993514,5.0,9.0,9.0,3.0,2.0,4.0,0.0,2.25,2,296.29522705078125,295.4978942871094,297.05838303338913,297.79139491489957,292.1721714564732,290.9698072160993,292.2703930082775,292.024662562779,0.000480260167803,0.000480260167803,0.0004437821252005,0.000887564250401,0.0004382530848184667,0.0013147592544554,0.00032960942813324177,0.001318437712532967,292.42288643973217,291.20362854003906,292.9861014229911,293.35696084158764,301.45755440848217,300.88752092633933,302.4716607956659,303.60145677839006,2.278667316156951,2.367835923863003,2.419968169953031,2.5472815652041874,15.0,,
CGC 1,2024-W10,2536.542581445757,3148.1408054734507,345.9667695702516,33.27272727272727,0.7272727272727273,11.0,-63.228003772165074,-32.39590263595998,295.4703892299107,290.1167428152902,2.8967857360839844e-05,291.6048583984375,300.9428013392857,2.599169021717472,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.4297861996993514,8.0,10.0,14.0,5.0,3.0,2.0,4.0,3.5,3,297.2680140904018,296.7816205705915,296.0879342215402,297.11079079764227,293.87894112723217,293.0255562918527,291.93951851981024,292.6725300380162,1.0405267987932478e-05,1.0405267987932478e-05,0.0002453327178954663,0.0004906654357909326,0.00029932317279631084,0.0008979695183889326,0.0003312911306108331,0.0013251645224433325,294.3114580426897,293.36717224121094,292.2395717075893,293.3174405779157,301.41894967215404,301.4382520403181,301.06466384161087,302.20848301478793,1.9366994703521023,2.107683393254527,2.2241237726927023,2.299150995052799,20.0,,
