WKT;gid
"MULTILINESTRING ((-63.2741634312914 -32.413887900538,-63.2749867231928 -32.4139388591951))";"1"
"MULTILINESTRING ((-63.2741634312914 -32.413887900538,-63.2740821358474 -32.4149175202478))";"2"
"MULTILINESTRING ((-63.2740821358474 -32.4149175202478,-63.2749088044604 -32.4149571099259))";"3"
"MULTILINESTRING ((-63.2749867231928 -32.4139388591951,-63.2749088044604 -32.4149571099259))";"4"
"MULTILINESTRING ((-63.2740821358474 -32.4149175202478,-63.2739788542561 -32.4162357488921))";"5"
"MULTILINESTRING ((-63.2749088044604 -32.4149571099259,-63.274796499376 -32.4162756294066))";"6"
"MULTILINESTRING ((-63.2739788542561 -32.4162357488921,-63.274796499376 -32.4162756294066))";"7"
"MULTILINESTRING ((-63.2739788542561 -32.4162357488921,-63.2738555389473 -32.4175737396249))";"8"
"MULTILINESTRING ((-63.274796499825 -32.4162756294356,-63.2746507218537 -32.4179950071404))";"9"
"MULTILINESTRING ((-63.2735290858702 -32.4108893214774,-63.2744035804043 -32.4109375578169))";"10"
"MULTILINESTRING ((-63.2744035804043 -32.4109375578169,-63.2752455418492 -32.4109841458145))";"11"
"MULTILINESTRING ((-63.2734471708404 -32.411785573089,-63.2743303146316 -32.4118437104357))";"12"
"MULTILINESTRING ((-63.2744035804043 -32.4109375578169,-63.2743303146316 -32.4118437104357))";"13"
"MULTILINESTRING ((-63.2752455418492 -32.4109841458145,-63.2751678917796 -32.4118790365284))";"14"
"MULTILINESTRING ((-63.2743303146316 -32.4118437104357,-63.2751678917796 -32.4118790365284))";"15"
"MULTILINESTRING ((-63.2751678917796 -32.4118790365284,-63.27507729189 -32.4129156372841))";"16"
"MULTILINESTRING ((-63.2733581970369 -32.4128092577761,-63.2742552587561 -32.4128614138331))";"17"
"MULTILINESTRING ((-63.2743303146316 -32.4118437104357,-63.2742552587561 -32.4128614138331))";"18"
"MULTILINESTRING ((-63.2742552587561 -32.4128614138331,-63.2741634312914 -32.413887900538))";"19"
"MULTILINESTRING ((-63.27507729189 -32.4129156372841,-63.2749867231928 -32.4139388591951))";"20"
"MULTILINESTRING ((-63.2667543458452 -32.4224510796004,-63.2667244748442 -32.4233556917261))";"21"
"MULTILINESTRING ((-63.2638219862866 -32.421530972677,-63.2633611796414 -32.4220684147158))";"22"
"MULTILINESTRING ((-63.2662274819846 -32.4217786742604,-63.2655105366835 -32.4225954625861))";"23"
"MULTILINESTRING ((-63.2647945376089 -32.4221393294986,-63.2655105366835 -32.4225954625861))";"24"
"MULTILINESTRING ((-63.2647945376089 -32.4221393294986,-63.2640680292286 -32.4229634339204))";"25"
"MULTILINESTRING ((-63.2655105366835 -32.4225954625861,-63.2662135605741 -32.4230476512507))";"26"
"MULTILINESTRING ((-63.2640680292286 -32.4229634339204,-63.2639210518251 -32.423130205592))";"27"
"MULTILINESTRING ((-63.2662135605741 -32.4230476512507,-63.2667244748442 -32.4233556917261))";"28"
"MULTILINESTRING ((-63.2655105366835 -32.4225954625861,-63.2647813938196 -32.4234266102817))";"29"
"MULTILINESTRING ((-63.2640680292286 -32.4229634339204,-63.2647813938196 -32.4234266102817))";"30"
"MULTILINESTRING ((-63.2647813938196 -32.4234266102817,-63.2654897388761 -32.4238796033118))";"31"
"MULTILINESTRING ((-63.2662135605741 -32.4230476512507,-63.2654897388761 -32.4238796033118))";"32"
"MULTILINESTRING ((-63.2639210518251 -32.423130205592,-63.264206558685 -32.4239845216385,-63.2642555880061 -32.4240256669213))";"33"
"MULTILINESTRING ((-63.2647813938196 -32.4234266102817,-63.2642555880061 -32.4240256669213))";"34"
"MULTILINESTRING ((-63.2667244748442 -32.4233556917261,-63.2659973688 -32.4241908097457))";"35"
"MULTILINESTRING ((-63.2654897388761 -32.4238796033118,-63.2659973688 -32.4241908097457))";"36"
"MULTILINESTRING ((-63.2642555880061 -32.4240256669213,-63.2649725659887 -32.4244851373255))";"37"
"MULTILINESTRING ((-63.2654897388761 -32.4238796033118,-63.2649725659887 -32.4244851373255))";"38"
"MULTILINESTRING ((-63.2659973688 -32.4241908097457,-63.2654678835193 -32.424802864376))";"39"
"MULTILINESTRING ((-63.2649725659887 -32.4244851373255,-63.2654678835193 -32.424802864376))";"40"
"MULTILINESTRING ((-63.2504603936112 -32.4215416504635,-63.2514315807919 -32.4221502937731))";"41"
"MULTILINESTRING ((-63.2470747003711 -32.4219402067097,-63.2476046140717 -32.4222068469669,-63.2476150905048 -32.4222114816013,-63.2476322620985 -32.4222166612806,-63.2482260257636 -32.4223491752937))";"42"
"MULTILINESTRING ((-63.2486555999165 -32.4218636346882,-63.248226027896 -32.4223491745955))";"43"
"MULTILINESTRING ((-63.2486555999165 -32.4218636346882,-63.2496330862524 -32.4224849941556))";"44"
"MULTILINESTRING ((-63.2504603936112 -32.4215416504635,-63.2496330862524 -32.4224849941556))";"45"
