WKT;Id;TIPO
"MULTILINESTRING ((-63.2691069052029 -32.4115110123736,-63.2687541672817 -32.4156314892959))";"0";
"MULTILINESTRING ((-63.2604737980597 -32.415700829914,-63.2597290613617 -32.4165647664751))";"0";
"MULTILINESTRING ((-63.2565085318372 -32.4134686082074,-63.2576217800622 -32.4141804369235,-63.2575475813773 -32.4155770201353))";"0";
"MULTILINESTRING ((-63.2592465445896 -32.406084050737,-63.2567193915974 -32.408980343867,-63.2566286092063 -32.4093623746947,-63.2538172377144 -32.412524141352,-63.2513137405568 -32.4153394231936,-63.2476355361476 -32.4194753022273,-63.2454974733765 -32.4218723456204))";"0";
"MULTILINESTRING ((-63.2605100120091 -32.4069875082818,-63.259674795363 -32.4079114863553,-63.2583919616235 -32.407076980018))";"0";
"MULTILINESTRING ((-63.2515326518713 -32.4057748490068,-63.2566853149341 -32.408985608464))";"0";
"MULTILINESTRING ((-63.2491968309388 -32.4117436949355,-63.25252049687 -32.413874516903,-63.2525816011791 -32.4139136905738))";"0";
"MULTILINESTRING ((-63.248604105845 -32.4159564257078,-63.2499703607617 -32.4168584413046))";"0";
"MULTILINESTRING ((-63.2482381201822 -32.4038255279413,-63.2449377064711 -32.4016915671977,-63.2445949747514 -32.4017649654721,-63.2431665094809 -32.4034405808814,-63.2431915341015 -32.4036379497996,-63.241469727484 -32.4055634803872,-63.23998013043 -32.4072292413733,-63.2397352426014 -32.4073539363304,-63.2374639075757 -32.4099662201547,-63.2335555987201 -32.4143322836302,-63.2304108587449 -32.4178449526653,-63.2278743304396 -32.4206779945088,-63.2269343530234 -32.4214513887243,-63.2297194984652 -32.4231711400042,-63.2298573067855 -32.4233875566646,-63.227946374372 -32.4244367880666,-63.2280829865299 -32.425174255597,-63.227790434368 -32.4257566443685))";"0";
"MULTILINESTRING ((-63.2302587637481 -32.4132967589959,-63.2294803328966 -32.4142303208292,-63.2320970618162 -32.4158762819418,-63.2321458755204 -32.4159069853908))";"0";
"MULTILINESTRING ((-63.22754508554 -32.4209473982518,-63.2263908293283 -32.4202305947449,-63.2241898710033 -32.4188721755779,-63.228192286005 -32.4175713907707,-63.2311489547208 -32.4165368481783))";"0";
