WKT;Id;NOMBRE
"MULTIPOLYGON (((-63.2915958240193 -32.4129304823925,-63.2911011988581 -32.4128284154974,-63.2910902704553 -32.4128294657561,-63.2910759031766 -32.4128327669106,-63.2910624299481 -32.4128381342016,-63.2910502601465 -32.4128454045469,-63.2910397635447 -32.4128543570412,-63.2910312590766 -32.412864719668,-63.2910250051466 -32.4128761775645,-63.2910211917778 -32.4128883825886,-63.2910199348385 -32.4129009638972,-63.2910212725211 -32.4129135392134,-63.291025164182 -32.4129257264428,-63.2910261852441 -32.41292797022,-63.2915483955731 -32.4130356178205,-63.2915510114861 -32.4130364719934,-63.291562194457 -32.4130389860679,-63.2915720418495 -32.4130398005497,-63.2915737234859 -32.4130398147316,-63.2915852459071 -32.4130389327434,-63.2915964127237 -32.4130363669132,-63.2916068846372 -32.4130321952025,-63.2916163434633 -32.4130265443668,-63.2916245018001 -32.4130195861043,-63.2916311117608 -32.4130115318384,-63.2916359725052 -32.4130026262943,-63.2916389363426 -32.4129931400625,-63.2916399132187 -32.4129833613775,-63.2916388734523 -32.4129735873598,-63.2916358486369 -32.4129641149879,-63.2916309306805 -32.412955232075,-63.291624269013 -32.4129472085235,-63.2916160660462 -32.4129402881248,-63.291606571023 -32.4129346811515,-63.2915960724446 -32.4129305579683,-63.2915958240193 -32.4129304823925)))";"0";
"MULTIPOLYGON (((-63.2909702512102 -32.412826502069,-63.2893352122565 -32.4125109578499,-63.2893280155066 -32.4125117697355,-63.2893144456113 -32.4125148874832,-63.2893017201048 -32.412519956707,-63.2892902256447 -32.4125268233814,-63.289280311484 -32.4125352788662,-63.2892722788594 -32.4125450662464,-63.2892663718385 -32.4125558881376,-63.2892627699039 -32.4125674157225,-63.2892615824992 -32.4125792987414,-63.2892628457041 -32.4125911761349,-63.2892665211378 -32.4126026870143,-63.2892724971248 -32.4126134816272,-63.2892805920883 -32.4126232319844,-63.2892905600674 -32.4126316418258,-63.2893011427411 -32.4126379832003,-63.2909106571721 -32.4129173519477,-63.290910755152 -32.4129173533726,-63.2909128985695 -32.4129173766617,-63.2909248805195 -32.4129164595608,-63.2909364926959 -32.4129137914608,-63.2909473822681 -32.4129094534305,-63.2909572183615 -32.4129035772792,-63.290965702111 -32.4128963415508,-63.2909725757423 -32.4128879660998,-63.2909776304039 -32.4128787054101,-63.2909807125128 -32.4128688408634,-63.2909817284213 -32.4128586721892,-63.2909806472623 -32.4128485083573,-63.2909775018868 -32.4128386581908,-63.2909723878663 -32.4128294209817,-63.2909702512102 -32.412826502069)))";"1";
"MULTIPOLYGON (((-63.2891811619689 -32.4124895485528,-63.2872893019646 -32.4121201311913,-63.2872810597257 -32.4121184844981,-63.2872686853565 -32.4121175945664,-63.2872563168047 -32.4121185409039,-63.287244329882 -32.4121212947565,-63.2872330888042 -32.4121257724501,-63.2872229351254 -32.4121318379323,-63.2872141773596 -32.412139306907,-63.2872070816072 -32.4121479524335,-63.2872018634693 -32.4121575118219,-63.2871986814968 -32.4121676946155,-63.287197632373 -32.4121781914153,-63.2871987479758 -32.4121886832814,-63.2872019944088 -32.4121988514237,-63.2872072730315 -32.4122083868882,-63.2872144234561 -32.4122169999445,-63.2872232284207 -32.4122244288887,-63.287233420391 -32.412230447996,-63.2872446896889 -32.4122348743785,-63.2872566939019 -32.4122375735426,-63.2872574044364 -32.4122376750129,-63.2891067503123 -32.4125987842999,-63.2891150466299 -32.412600413249,-63.2891274474735 -32.4126013671203,-63.289128353478 -32.4126013695882,-63.2891416469497 -32.4126003522896,-63.2891545302119 -32.4125973923208,-63.2891666118125 -32.4125925796193,-63.2891775246577 -32.4125860604166,-63.2891869371658 -32.4125780327959,-63.2891945633427 -32.4125687406727,-63.289200171471 -32.4125584663838,-63.2892035911512 -32.4125475221086,-63.2892047184788 -32.4125362403834,-63.2892035192014 -32.4125249639979,-63.2892000297592 -32.4125140355792,-63.2891943561779 -32.4125037871817,-63.289186670847 -32.4124945301974,-63.2891811619689 -32.4124895485528)))";"2";
"MULTIPOLYGON (((-63.2871138907094 -32.4121096459411,-63.2866302109023 -32.4120091491502,-63.2866235597236 -32.4120089167533,-63.2866103775716 -32.4120099252736,-63.2865976021381 -32.4120128602104,-63.2865856215974 -32.4120176323871,-63.2865747999717 -32.4120240968039,-63.2865654660702 -32.4120320570432,-63.2865579034989 -32.4120412712373,-63.286552342043 -32.4120514594181,-63.2865489506851 -32.4120623120231,-63.2865478324705 -32.4120734993015,-63.2865490213765 -32.4120846813335,-63.2865524812797 -32.4120955183589,-63.2865581070533 -32.4121056810997,-63.2865620919302 -32.4121109019751,-63.2870928479034 -32.4122185481047,-63.2870933456453 -32.4122183948465,-63.2871050864124 -32.4122137181308,-63.2871156914438 -32.4122073830454,-63.2871248385108 -32.4121995820792,-63.2871322496844 -32.4121905522608,-63.2871376997801 -32.412180567957,-63.2871410232 -32.4121699325361,-63.2871421189645 -32.4121589691501,-63.28714095378 -32.4121480109161,-63.2871375630509 -32.4121373907943,-63.2871320498035 -32.4121274314717,-63.2871245815556 -32.4121184355568,-63.2871153852263 -32.4121106763858,-63.2871138907094 -32.4121096459411)))";"3";
"MULTIPOLYGON (((-63.2220407599078 -32.4117976272767,-63.2215232724172 -32.4114725077425,-63.2213664154389 -32.4116514555941,-63.2219351282605 -32.4120177249401,-63.2220407599078 -32.4117976272767)))";"4";
"MULTIPOLYGON (((-63.2189665924193 -32.4141136685972,-63.2184742198905 -32.4137936261845,-63.2180866178258 -32.4142251526205,-63.2185800293233 -32.414544039453,-63.2189665924193 -32.4141136685972)))";"5";
"MULTIPOLYGON (((-63.2215232724172 -32.4114725077425,-63.2220407599078 -32.4117976272767,-63.2223444570557 -32.4114497974086,-63.2218200826068 -32.4111203439213,-63.2215162390077 -32.4114680951987,-63.2215232724172 -32.4114725077425)))";"6";
"MULTIPOLYGON (((-63.2597856397823 -32.416484404806,-63.2600346191911 -32.416748850612,-63.2601029327706 -32.4167804421199,-63.2601674460075 -32.4168173367438,-63.2602275884521 -32.4168592082506,-63.2602828283006 -32.4169056863999,-63.2603326770973 -32.4169563602172,-63.2603766940534 -32.417010781628,-63.2604144899454 -32.4170684694194,-63.2604457305563 -32.4171289134954,-63.2610182107924 -32.4176080107566,-63.2613021692007 -32.4179013870081,-63.2613741897532 -32.4179535872594,-63.2614410884983 -32.4180104800017,-63.2615024417269 -32.4180717049081,-63.26155786085 -32.4181368742137,-63.2616069948594 -32.418205575171,-63.2616495325515 -32.4182773726638,-63.2616852044983 -32.4183518119633,-63.2617137847542 -32.4184284216076,-63.2617350922873 -32.4185067163876,-63.2617489921266 -32.4185862004203,-63.2617553962171 -32.4186663702892,-63.2617542639783 -32.4187467182327,-63.2617456025612 -32.4188267353598,-63.261729466804 -32.4189059148738,-63.2617093454494 -32.4190207134627,-63.2616965270385 -32.4191362633869,-63.2616910486508 -32.4192522306488,-63.2616929261501 -32.4193682800428,-63.2617021541375 -32.4194840761249,-63.2617187059673 -32.4195992841821,-63.2617425338233 -32.4197135711996,-63.261773568857 -32.4198266068238,-63.2618117213861 -32.4199380643173,-63.2618568811536 -32.4200476215029,-63.2619089176459 -32.4201549616954,-63.2619676804704 -32.4202597746172,-63.2620176400956 -32.4205436926375,-63.2619346914824 -32.4208560520263,-63.2619615561179 -32.4211430611494,-63.2622058081671 -32.4215805086541,-63.2624680043392 -32.4222203384218,-63.2627014466323 -32.4227899820261,-63.2630259059639 -32.423080365782,-63.2633048921918 -32.4235214205676,-63.2638485476812 -32.4230602434722,-63.2635598550396 -32.4222659016451,-63.2631082488308 -32.4221490756564,-63.2626993533761 -32.4217966203227,-63.2624294148222 -32.4214806754464,-63.262251995892 -32.4211108459419,-63.2622072975981 -32.4210967682271,-63.2621655975538 -32.4210771584852,-63.2621278409205 -32.4210524611858,-63.2620948834772 -32.4210232361117,-63.2620674722236 -32.4209901456706,-63.2620462284488 -32.4209539398808,-63.2620316336499 -32.4209154393711,-63.2620240186191 -32.4208755167808,-63.2620235559464 -32.4208350769805,-63.2620302561091 -32.4207950365622,-63.2620439672349 -32.4207563030649,-63.2620643785451 -32.4207197544041,-63.2620957538564 -32.4201343779995,-63.2619361909648 -32.4189717306107,-63.2618542993238 -32.4183750253019,-63.2618131174407 -32.4182695153161,-63.261764879986 -32.4181661787677,-63.2617097452933 -32.4180653547956,-63.2616478943306 -32.4179673742919,-63.2615795301057 -32.4178725588155,-63.2615048770001 -32.4177812195374,-63.2614241800324 -32.4176936562191,-63.2613377040536 -32.4176101562293,-63.2612457328785 -32.4175309936007,-63.2611485683536 -32.4174564281307,-63.2610465293666 -32.4173867045294,-63.2609399508001 -32.4173220516159,-63.2608291824321 -32.4172626815682,-63.260524870063 -32.4170572153127,-63.2604114658461 -32.4168737778464,-63.2597856397823 -32.416484404806,-63.2597856397823 -32.416484404806)),((-63.2597856397823 -32.416484404806,-63.2597286765225 -32.4164031422852,-63.2596783999555 -32.4163187649954,-63.2596350455848 -32.4162316682049,-63.2595988164849 -32.4161422599207,-63.25956988235 -32.4160509589768,-63.2595483787 -32.4159581930721,-63.2595344062453 -32.4158643967668,-63.2595280304161 -32.4157700094466,-63.259529281056 -32.4156754732645,-63.2595381522824 -32.4155812310697,-63.2595546025153 -32.4154877243324,-63.2579378084626 -32.4145139211191,-63.2573129265737 -32.4144765547793,-63.2569164505439 -32.4146595381439,-63.256786913622 -32.4148806226734,-63.2567718803209 -32.4149214260713,-63.2567495800451 -32.4149597628842,-63.2567205506797 -32.414994708409,-63.2566854924211 -32.415025419741,-63.2566452508885 -32.4150511561057,-63.256600796727 -32.4150712967271,-63.2565532021952 -32.4150853558012,-63.2562996970716 -32.4151962813748,-63.2562488254187 -32.4152152899796,-63.2562009164506 -32.4152392043496,-63.2561566248385 -32.4152676976985,-63.2561165558244 -32.4153003806689,-63.256081256951 -32.4153368066522,-63.255419553676 -32.416091693289,-63.2551002179361 -32.4164559926236,-63.2550169274498 -32.4168108604525,-63.254924171055 -32.417206059491,-63.2545654007085 -32.4187346035928,-63.2545185105829 -32.418934376046,-63.2544965325662 -32.4192236684164,-63.2544872013174 -32.4192488075854,-63.2544827337871 -32.4192748894242,-63.2544832451546 -32.4193012415299,-63.2544887222409 -32.4193271845317,-63.2544990238478 -32.4193520496049,-63.254513884398 -32.419375195714,-63.2545329207812 -32.419396026139,-63.2545556422307 -32.419414003859,-63.2547218987349 -32.4195171761539,-63.2548820503686 -32.4191856239784,-63.2549157413271 -32.4190158021879,-63.2548569454567 -32.4189372551703,-63.2549047447878 -32.4185769483221,-63.2549227905764 -32.4184409234132,-63.2551173543217 -32.4178064107542,-63.2552856455731 -32.4172575672589,-63.255378897829 -32.4170813199059,-63.255394947081 -32.4170020536921,-63.2554184087078 -32.4169241279722,-63.2554491327915 -32.4168480406225,-63.2554869230148 -32.4167742777729,-63.255531537916 -32.4167033107004,-63.2555826924316 -32.4166355928184,-63.2556400597184 -32.4165715567802,-63.2557032732418 -32.4165116117147,-63.2557719291177 -32.4164561406125,-63.2558455886931 -32.4164054978793,-63.2563034091952 -32.4160484950075,-63.2566132135528 -32.4158069124416,-63.2567464372767 -32.4157446170041,-63.2568828427004 -32.4156874903225,-63.2570221512939 -32.415635649043,-63.2571640786004 -32.4155891990194,-63.2573083348177 -32.4155482350971,-63.2574546253892 -32.4155128409194,-63.257602651606 -32.4154830887565,-63.2577521112158 -32.4154590393586,-63.2579026990405 -32.4154407418314,-63.2586006343593 -32.4154186101771,-63.2590771224237 -32.4154531303756,-63.2591368106359 -32.4154665880247,-63.2591940715595 -32.4154862184912,-63.2592480217552 -32.4155117189109,-63.2592978288603 -32.4155426958555,-63.2593427244311 -32.4155786714032,-63.2593820157978 -32.4156190905115,-63.2594150967522 -32.4156633295804,-63.2594414568997 -32.4157107060733,-63.2594606895349 -32.4157604890472,-63.2594494962828 -32.4158581847831,-63.2594453307246 -32.4159562771753,-63.259448208315 -32.4160544028293,-63.2594581184164 -32.4161521982259,-63.2594750243381 -32.4162493010685,-63.2594988634719 -32.4163453516248,-63.2597856397823 -32.416484404806)))";"7";
"MULTIPOLYGON (((-63.2600346191911 -32.416748850612,-63.2597856397823 -32.416484404806,-63.2594988634719 -32.4163453516248,-63.2600346191911 -32.416748850612)))";"8";
"MULTIPOLYGON (((-63.2565578700073 -32.4148440327005,-63.2565447146771 -32.4148450359748,-63.2565319645904 -32.414847961733,-63.2565200071515 -32.4148527210774,-63.2565092056807 -32.414859169398,-63.2564998883748 -32.4148671107664,-63.2564923383355 -32.4148763038883,-63.2564867849672 -32.4148864694357,-63.2564833970067 -32.4148972985338,-63.2564822773963 -32.4149084621463,-63.2564834601556 -32.4149196210723,-63.2564869093478 -32.4149304362536,-63.2564925201717 -32.4149405790761,-63.2565001221458 -32.414949741355,-63.2565094842883 -32.4149576446988,-63.2565203221351 -32.4149640489681,-63.2565323063835 -32.414968759572,-63.2565450728977 -32.4149716333809,-63.2565582337728 -32.4149725830755,-63.2565713891214 -32.4149715797996,-63.2565841392241 -32.4149686540375,-63.2565960966748 -32.414963894687,-63.2566068981518 -32.4149574463589,-63.2566162154575 -32.4149495049828,-63.2566237654903 -32.4149403118537,-63.2566293188464 -32.4149301463004,-63.2566327067906 -32.4149193171984,-63.2566338263826 -32.4149081535848,-63.256632643605 -32.4148969946602,-63.2566291943968 -32.4148861794829,-63.256623583561 -32.4148760366665,-63.2566159815807 -32.4148668743949,-63.2566066194384 -32.4148589710589,-63.2565957815982 -32.4148525667969,-63.2565837973619 -32.414847856199,-63.256571030864 -32.4148449823938,-63.2565578700073 -32.4148440327005)))";"9";
