WKT;gid
"MULTILINESTRING ((-63.2478127275028 -32.4092390292537,-63.2470674029538 -32.4100890984091,-63.2446159107815 -32.4126848240434,-63.2439292550542 -32.4134118439102,-63.2430811455816 -32.4141795487222,-63.240551119776 -32.4164696052304,-63.2402154146421 -32.4167425012306,-63.2398750510051 -32.4170112143053,-63.2395301012723 -32.4172756872573,-63.239180638829 -32.4175358637918,-63.2388267380231 -32.4177916885277,-63.2384684741492 -32.4180431070101,-63.2381059234324 -32.4182900657211,-63.2377391630122 -32.4185325120922,-63.2373131328987 -32.4188344391522,-63.236882600933 -32.4191317378721,-63.236447636977 -32.4194243599793,-63.2360083116142 -32.4197122579603,-63.2355646961383 -32.4199953850679,-63.2351168625417 -32.4202736953293,-63.2346648835037 -32.4205471435536,-63.2342088323787 -32.4208156853388,-63.2337487831846 -32.4210792770789,-63.2332848105901 -32.4213378759718,-63.2265088200031 -32.4249962023684,-63.2216998189977 -32.4275921595631,-63.2186593840994 -32.4292332517102,-63.2133215249612 -32.4321140702437,-63.2088845856831 -32.4345083546006,-63.2015898203925 -32.4384441787264))";"1"
"MULTILINESTRING ((-63.2663673618331 -32.3881702297228,-63.2640976211664 -32.3907236319079,-63.2615060451863 -32.3936388650765,-63.2587884442866 -32.3966956035939,-63.2576612939481 -32.3979633367535,-63.2567727755255 -32.3990551497415,-63.2554681560502 -32.4005103780547,-63.2534260876335 -32.4027880674919,-63.2511756316101 -32.4054011815381,-63.2505347979719 -32.4060442128306,-63.2478963414826 -32.4091408981418,-63.2478127275028 -32.4092390292537))";"2"
"MULTILINESTRING ((-63.1712532138028 -32.4224603881404,-63.1540473882647 -32.417849669506))";"3"
"MULTILINESTRING ((-63.1712532138028 -32.4224603881404,-63.1856816508629 -32.4263927004773))";"4"
"MULTILINESTRING ((-63.1856816508629 -32.4263927004773,-63.1979996301844 -32.4296422163081))";"5"
"MULTILINESTRING ((-63.3192676896943 -32.4304340873942,-63.316909033829 -32.4288362847095,-63.3152535276077 -32.427714749732,-63.3138409188487 -32.4267577279672,-63.3117543377003 -32.4252715293965,-63.3098935056446 -32.4240569724195,-63.3091556651294 -32.4234637247387,-63.308032353431 -32.4227335357925,-63.3063407891556 -32.4216339228666,-63.3044050541846 -32.42030405432,-63.3030932828865 -32.4194799369331,-63.3015153514275 -32.4183661692062,-63.3001529584296 -32.4174044989977,-63.2990528568419 -32.4166279461629,-63.297568575036 -32.4155801670046,-63.2949109727479 -32.4137040164009,-63.2925118451245 -32.4120884481864,-63.2892887953365 -32.4099178884572,-63.2851986021018 -32.4070254121308,-63.2830214261723 -32.4056297461573,-63.2826383197671 -32.4054082061426,-63.2822508095155 -32.4051922497855,-63.2818590084921 -32.4049819400853,-63.2814630310212 -32.4047773383941,-63.2810629926428 -32.4045785043981,-63.2806590100792 -32.4043854961008,-63.2802512012013 -32.4041983698059,-63.2798396849936 -32.4040171801009,-63.2794245815202 -32.403841979841,-63.2790060118893 -32.4036728201344,-63.2785840982182 -32.4035097503264,-63.2781589635978 -32.403352817986,-63.2777307320563 -32.4032020688915,-63.2772995285238 -32.4030575470173,-63.2768654787951 -32.4029192945211,-63.2764287094939 -32.4027873517317,-63.275989348035 -32.402661757137,-63.2755475225883 -32.4025425473733,-63.2751033620403 -32.4024297572141,-63.2746569959577 -32.4023234195604,-63.2742085545487 -32.4022235654306,-63.2737581686258 -32.4021302239522,-63.2733059695675 -32.4020434223527,-63.2728520892798 -32.4019631859518,-63.2723966601581 -32.4018895381544,-63.2719398150487 -32.4018225004434,-63.27148168721 -32.4017620923734,-63.2709973309509 -32.4017142382277,-63.2705120678643 -32.4016735316829,-63.2700260444524 -32.4016399850289,-63.2695394074459 -32.4016136083943,-63.2690523037608 -32.4015944097428,-63.2685648804533 -32.4015823948713,-63.2680772846763 -32.4015775674076,-63.2675896636344 -32.4015799288098,-63.2671021645398 -32.4015894783656,-63.2666149345682 -32.4016062131925,-63.2661281208141 -32.4016301282389,-63.2656418702467 -32.4016612162854,-63.2651563296656 -32.401699467947,-63.2646716456567 -32.4017448716759,-63.2641879645478 -32.4017974137652,-63.2637054323647 -32.4018570783529,-63.2632241947872 -32.4019238474264,-63.2627443971051 -32.4019977008284,-63.2622661841745 -32.4020786162626,-63.2617897003745 -32.4021665693007,-63.261315089563 -32.4022615333895,-63.260842495034 -32.402363479859,-63.2603720594741 -32.4024723779311,-63.2599039249196 -32.4025881947289,-63.2594382327138 -32.4027108952864,-63.2589751234642 -32.4028404425592,-63.2585147370002 -32.4029767974356,-63.2580572123314 -32.4031199187484,-63.2576026876047 -32.4032697632873,-63.2571513000639 -32.4034262858119,-63.2566939312824 -32.4036084414063,-63.256239983279 -32.403796656374,-63.2557895675791 -32.4039908844836,-63.2553427948431 -32.4041910780261,-63.2548997748383 -32.4043971878271,-63.2544606164126 -32.4046091632583,-63.2540254274676 -32.4048269522505,-63.2535943149321 -32.4050505013058,-63.2531673847359 -32.4052797555111,-63.252744741784 -32.4055146585515,-63.2523264899303 -32.4057551527241,-63.251912731953 -32.4060011789517,-63.2515035695283 -32.4062526767982,-63.2511501406357 -32.4064911207828,-63.2508015203348 -32.4067346068308,-63.2504578085866 -32.4069830651538,-63.2501191039476 -32.4072364245377,-63.2497855035416 -32.4074946123632,-63.2494571030318 -32.4077575546262,-63.2491339965937 -32.4080251759592,-63.2488162768873 -32.408297399653,-63.2485040350316 -32.4085741476783,-63.2481973605774 -32.4088553407084,-63.2478963414826 -32.4091408981418))";"6"
"MULTILINESTRING ((-63.2663673618331 -32.3881702297228,-63.2701165685978 -32.3839541928056,-63.2755081960334 -32.3778903476799,-63.2795402919656 -32.3731869956044,-63.2822371188948 -32.3702395240677,-63.285872421251 -32.3660771604474))";"7"
"MULTILINESTRING ((-63.1979996301844 -32.4296422163081,-63.2056042138234 -32.4317094710436))";"8"
"MULTILINESTRING ((-63.2015898203925 -32.4384441787264,-63.1962923190356 -32.4412549831788,-63.1887514819317 -32.4452553946719,-63.1807339961742 -32.4495897683872,-63.1743283404292 -32.4530520967556,-63.1675157136037 -32.4567337486405))";"9"
"MULTILINESTRING ((-63.2278761901209 -32.4242492756755,-63.2275615045834 -32.4243774978754,-63.2272433000804 -32.4244993134127,-63.2269217579062 -32.4246146528788,-63.226597061259 -32.4247234505546,-63.2262693951365 -32.4248256444485,-63.2259389462301 -32.4249211763311,-63.2256059028191 -32.425009991769,-63.2252704546625 -32.4250920401555,-63.2249327928914 -32.4251672747396,-63.2245931098996 -32.4252356526527,-63.2242896042656 -32.4253156875241,-63.2239883002345 -32.4254014986669,-63.2236893505956 -32.4254930425689,-63.2233929069458 -32.4255902728105,-63.2230991196126 -32.4256931400887,-63.222808137578 -32.425801592242,-63.2225201084032 -32.4259155742764,-63.2222351781536 -32.426035028394,-63.221953491325 -32.4261598940214,-63.22167519077 -32.4262901078414))";"10"
