WKT;id;nombre
"MULTILINESTRING ((-63.2466737887437 -32.4097139238764,-63.2455144709638 -32.4110038899498,-63.2446460481781 -32.4119868228051,-63.2438248304264 -32.4129285130872,-63.2429835854579 -32.4138856934462,-63.2421632654035 -32.4147855661466,-63.2421252838082 -32.4147820602757,-63.2398811743556 -32.4133655452661,-63.236634341802 -32.4113043238848,-63.2361300638054 -32.4112079247963,-63.228857097041 -32.4066161133008,-63.2288008471841 -32.4066162154362,-63.2279931464238 -32.4075314826396,-63.2264190162929 -32.4092957181315,-63.2255179011953 -32.4103064302054,-63.2251861224713 -32.4103509242313,-63.2229070349856 -32.412898115865,-63.2225452102162 -32.4131965166791,-63.2218620191046 -32.4140082657935,-63.221765443682 -32.4142361308866,-63.2195090977166 -32.4168002037329,-63.2191902638058 -32.4170189095136,-63.2134545438852 -32.4187580464039,-63.2132827958758 -32.4186891459612,-63.2131668903203 -32.4184435937532,-63.2109523193488 -32.4184536437728,-63.2109497880613 -32.4173748600574,-63.2109645392117 -32.4135716649173,-63.2143106394887 -32.4135700418429,-63.2138755541445 -32.4125643619617,-63.2139318350845 -32.4086026863221,-63.2163015727089 -32.4086013545153,-63.216306499376 -32.4080125667217,-63.2149355113119 -32.4068241307845,-63.2144590620921 -32.4068272883356,-63.2144547898196 -32.40502052211,-63.2145183943916 -32.4049744895602))";"1";LINEA A
"MULTILINESTRING ((-63.2145183943916 -32.4049744895602,-63.2166535113012 -32.404977871143,-63.2170869132525 -32.4045088902531,-63.2194403136577 -32.40180367634,-63.2209725750313 -32.4027636485021,-63.2234945687411 -32.4043866291757,-63.2269347101517 -32.4005282543572,-63.221020249391 -32.3967106969891,-63.2210491899259 -32.3966336210529,-63.2226150809062 -32.3948728888746,-63.2282214063207 -32.3983508902788,-63.2298666254729 -32.3964970127362,-63.2337640616356 -32.3989535088298,-63.2366960077588 -32.4008131319461,-63.2436454230505 -32.4052183387746,-63.241956737983 -32.4071201763387,-63.2452855997206 -32.4092237562649,-63.2520038309145 -32.4015549897549,-63.2523525931544 -32.4015662214812,-63.2531290495011 -32.4020584284599,-63.2532979102118 -32.4021010355775,-63.2534834451556 -32.4020720316451,-63.2536918557131 -32.4019766531082,-63.2547208390024 -32.4008539158664,-63.2563845948451 -32.3989577998496,-63.2571347524527 -32.3980556956212,-63.253519920521 -32.3958591146074,-63.2571151273365 -32.3915674660899,-63.258774137589 -32.3924240035913,-63.26067923521 -32.3937356703727,-63.2605672313341 -32.3939029158042,-63.2603318096506 -32.3941801680438,-63.2593281379304 -32.3952530342108,-63.2596191837706 -32.395447655714,-63.2589299064684 -32.3962270490008,-63.2537736763454 -32.4020745641832,-63.2536390439501 -32.4022036743157,-63.2534928950491 -32.4022373710849,-63.253239943232 -32.4022951414253,-63.2530306241722 -32.4024282184083,-63.2528523248499 -32.4026318557339,-63.2507394366141 -32.405003504386,-63.2503930862693 -32.4053967757107,-63.2472721393627 -32.4089069318799,-63.2471693498709 -32.4091686289878,-63.2466737887437 -32.4097139238764))";"2";LINEA A
"MULTILINESTRING ((-63.2293199620664 -32.397153647549,-63.2285090247534 -32.398065277255,-63.2264686393929 -32.4002789098803,-63.2246968324901 -32.399122527505,-63.221768051066 -32.3972492850721,-63.220978805274 -32.3967307805872,-63.2210291596087 -32.3966218946159,-63.2226117061583 -32.3948383824296,-63.2235818976427 -32.3954359725614,-63.2219493244563 -32.3972773491156,-63.2222681211665 -32.3974834565,-63.2213733024642 -32.3985047493954,-63.2222331841048 -32.3990639948449,-63.2179887925773 -32.4038163904738,-63.2218373618038 -32.4062646502993,-63.224023096726 -32.4038212128269,-63.2269558374601 -32.400541908135,-63.2313518402332 -32.403270307703,-63.2318528905115 -32.4038254082913,-63.233336119263 -32.4047214336429,-63.2388843073726 -32.4082736787418,-63.2406563570119 -32.4062593441087,-63.2418704484777 -32.407079768682,-63.2429635742924 -32.4077772143126,-63.2452703731118 -32.4092410102798,-63.2464592944016 -32.4099863793847))";"3";LINEA B
"MULTILINESTRING ((-63.2464592944016 -32.4099863793847,-63.2459705213088 -32.4105295698618,-63.2431161540462 -32.4137737783388,-63.2421656691562 -32.4148073269058,-63.2412317133427 -32.4156142059239,-63.2396431779135 -32.4168962900786,-63.2381655210247 -32.4180218205089,-63.2379144308478 -32.4181657206511,-63.2342259968859 -32.4158768265526,-63.2322630828424 -32.4180777159494,-63.2291375046688 -32.4216471841334,-63.2277358500352 -32.4208070326194,-63.2275126525392 -32.4209318441232,-63.2270882115151 -32.4212819062339,-63.2254794228536 -32.422616209651,-63.2252871363093 -32.4227787950931,-63.225211056505 -32.4228402488391,-63.2247613306852 -32.4235508582965,-63.224100555007 -32.4246092851731,-63.2239846629209 -32.4247387179986,-63.222703605741 -32.4254437630756,-63.2178899474441 -32.4280009478488,-63.2175635954866 -32.4279969378478,-63.2121934590395 -32.4279670903897,-63.2121526057657 -32.4310157741224,-63.2087344697721 -32.431007168775,-63.2087818995564 -32.4235643213053,-63.225802057899 -32.4183939225663,-63.2259821339622 -32.4183993620822,-63.230955301195 -32.4215306038439,-63.2338767382635 -32.4182288185761,-63.2359576529153 -32.4158595929956,-63.2379708781961 -32.4135337779758,-63.2404837027516 -32.41072298857,-63.243876293994 -32.4069060919583,-63.2381396958203 -32.4031944562047,-63.241580808582 -32.399311961946,-63.241893020456 -32.3992882879197,-63.2430703137752 -32.3978882877628,-63.2432873107732 -32.3976356842864,-63.2341384237351 -32.391736200328,-63.2325875195509 -32.3934477452809,-63.2293199620664 -32.397153647549))";"4";LINEA B
"MULTILINESTRING ((-63.2462816102437 -32.4102273915701,-63.2457147405944 -32.4108550373394,-63.2455453943082 -32.4111571846464,-63.2449892705832 -32.411862300398,-63.2449648018799 -32.4118933429578,-63.2449468718857 -32.4119274476155,-63.2449359967469 -32.4119636326233,-63.2449324895277 -32.4120008563467,-63.2449364511972 -32.4120380472489,-63.2449477677223 -32.4120741347366,-63.2449661133487 -32.4121080799789,-63.2449909599775 -32.4121389058112,-63.245021592367 -32.4121657248649,-63.2458014585808 -32.4126516944498,-63.2458371891812 -32.4126686897688,-63.2458756450924 -32.4126806631203,-63.24591585289 -32.412687311426,-63.2459567948039 -32.4126884663987,-63.2459974344807 -32.4126840988031,-63.246036743218 -32.4126743191951,-63.2460737260037 -32.4126593751235,-63.246107446703 -32.4126396448639,-63.246540867569 -32.4123238580076,-63.2466621359032 -32.4122358193397,-63.2477964302811 -32.4109997939852,-63.2480484153637 -32.410989754605,-63.248379765567 -32.4112028791744,-63.2502124984646 -32.4123490693989,-63.2553118556357 -32.4065804128681,-63.2582564097312 -32.4032784851933,-63.2584470133734 -32.4031596312225,-63.2603675061001 -32.4026212347699,-63.2606505058429 -32.4026266909769,-63.2613496407292 -32.4030784894054,-63.2627860414982 -32.4040101105939,-63.2594746797023 -32.4077401328892,-63.2607302290557 -32.408534052621,-63.2607841010867 -32.4086680050054,-63.260533577814 -32.4089441594651,-63.2597984786262 -32.4097702671877,-63.2680594239061 -32.4102833870413,-63.2717513354905 -32.4105167101179,-63.2720026952469 -32.4072874617679,-63.2732333994417 -32.4073623414088,-63.2729437427266 -32.4105920450248,-63.277991567315 -32.4109108342919,-63.2824679547572 -32.4112074684821,-63.2829090879109 -32.4112361953226,-63.2833936275932 -32.4113009575193,-63.2871706551793 -32.4120057441219,-63.286549294819 -32.4145618175377,-63.2853472278677 -32.4154058866777,-63.2858892673641 -32.4174349545753,-63.2877367785634 -32.4161334282409,-63.2893675082483 -32.4149640413468,-63.2906287140864 -32.4138902571181,-63.2916081353111 -32.4130350911527,-63.2916774332882 -32.4128887982498,-63.2833938377011 -32.4113347493036,-63.2828981328779 -32.4112776381233,-63.2819199810002 -32.4112047402498,-63.2798292174272 -32.4110741453255,-63.2796513085206 -32.4130002317313,-63.2785630163393 -32.4130027155974,-63.2775396496686 -32.4130044629777,-63.2763343930769 -32.4129534289552,-63.2749075475077 -32.4128725660361,-63.273334162722 -32.412772917665,-63.2717137819798 -32.4126828945955,-63.268908014456 -32.4125133107355,-63.2653240161579 -32.4122960136759,-63.2653944217594 -32.4112771162231,-63.2654867876721 -32.4101730253295,-63.2636073394114 -32.4100691103318,-63.261672948912 -32.4099518372205,-63.2597610408756 -32.4098126318748,-63.2591593025069 -32.4097708732344,-63.2584759864132 -32.4097234498385,-63.2582909973469 -32.4096957621193,-63.2581524983738 -32.4096730992578,-63.2579469286126 -32.4096084319376,-63.2576585755452 -32.4094876269158,-63.2570924319509 -32.4092145877893,-63.2565998992714 -32.4090841829133,-63.2532677307541 -32.4069804619882,-63.249937910572 -32.4107383913957,-63.2449972156506 -32.4075735602462,-63.242439224359 -32.4105172686206,-63.2390442615159 -32.4142788636256,-63.2382195874566 -32.4151896875942,-63.234923636311 -32.4130936533729,-63.2332533640872 -32.4149183959172,-63.2327686206774 -32.4150137675289,-63.2318022272193 -32.4143556139224,-63.2283746983536 -32.4122109770845,-63.2254474405279 -32.410418578854,-63.225013737649 -32.410304479281,-63.222369664077 -32.4086244498643,-63.2221426720273 -32.4085761841471,-63.2205320718738 -32.4085880601677,-63.2163877959391 -32.408601605585,-63.2163439155664 -32.4084523295575,-63.2163541907669 -32.408012686718,-63.2160046248948 -32.4077037358006,-63.2149564884616 -32.4067955417057,-63.2119774423632 -32.4067815004814,-63.2119442899072 -32.4085287410751,-63.2119443992636 -32.4086066119701,-63.2112600143524 -32.4086056282017,-63.2112012165089 -32.4087256506774,-63.2111458351974 -32.4114745753897,-63.2110308217043 -32.4116465281054,-63.2109958650218 -32.413546247161,-63.2143568678626 -32.4135444572478,-63.2155184420063 -32.4161942387565,-63.2185292462339 -32.4128653224623,-63.2222995871309 -32.4086523620172,-63.2224877767657 -32.4085494358052,-63.2327886449087 -32.4149488405417,-63.2329924236996 -32.4148917986378,-63.2338408417935 -32.4139448116018,-63.2355078372075 -32.4120881556864,-63.2357784621159 -32.4121872773063,-63.237974193807 -32.4135724238076,-63.2413204896917 -32.4098344453078,-63.2431071291981 -32.407815869524,-63.2454169460649 -32.4092876014085,-63.2465096756603 -32.4099850166504,-63.246281197036 -32.4102290358701))";"5";LINEA C
"MULTILINESTRING ((-63.2364512795055 -32.4109358787826,-63.2371523220792 -32.4101263352006,-63.239800590307 -32.4117944411056,-63.2437996028271 -32.4143832433959,-63.2467916750452 -32.4162319553965,-63.2501106908998 -32.418343798093,-63.2509281248935 -32.4174276370974,-63.2511734571052 -32.4171498338948,-63.252362156951 -32.4158049513974,-63.254366185129 -32.4135296468838,-63.2545610774435 -32.4135385139809,-63.2564912204937 -32.4147514114616,-63.2576217800622 -32.4141804369235,-63.2592774765002 -32.4123056287015,-63.2625075305244 -32.4143271548322,-63.262693934034 -32.4143476430318,-63.2636057714489 -32.4149249567476,-63.2649658819432 -32.4133555601368,-63.2651379402512 -32.413294515808,-63.2711862593566 -32.4136718488514,-63.271451029781 -32.4106986311003,-63.2717794468877 -32.4102982359444,-63.2720217714752 -32.4072990895846,-63.2732398787339 -32.407376440078,-63.2729773931283 -32.4103952612297,-63.2735330081172 -32.4104807420175,-63.2735008021251 -32.4111987825185,-63.2730391650233 -32.416828589385,-63.2727191216567 -32.4164850211139,-63.2724080283 -32.4161444866133,-63.2718000677084 -32.4157154346811,-63.2710274012083 -32.4154114051537,-63.2702536441965 -32.415329560439,-63.2689709620393 -32.4155470362483,-63.268703979532 -32.4156251477183,-63.2679414839059 -32.4160223509161,-63.2677877367985 -32.4162916552139,-63.2672462991698 -32.4159511024755,-63.2650129364705 -32.4184155449982,-63.2611278217421 -32.415893683439,-63.259622554956 -32.4155001373527,-63.2594773530676 -32.4153965234833,-63.2588958772063 -32.4150053714657,-63.2579811572679 -32.414411766326,-63.2573251825577 -32.4143727382348,-63.2569355166779 -32.4145852824154,-63.256888889212 -32.4146234497877,-63.2568481894039 -32.4146662190146,-63.2568140431569 -32.4147129323777,-63.2567869755938 -32.4147628715032,-63.2567674029812 -32.4148152684094,-63.2567602210949 -32.4148497582365,-63.256746290553 -32.4148827283904,-63.2567260097263 -32.4149132360091,-63.2566999585889 -32.4149404086518,-63.2566688821335 -32.4149634692489,-63.2566336690662 -32.4149817583245,-63.2565953263921 -32.4149947528559,-63.2565549506168 -32.4150020812313,-63.256513696389 -32.415003533877,-63.2564727434793 -32.4149990692508,-63.2564332630413 -32.4149888150301,-63.2564130055001 -32.4149719218941,-63.2563959898297 -32.414952626285,-63.256382606772 -32.414931371303,-63.2563731636496 -32.4149086450422,-63.256367877309 -32.4148849693827,-63.256366869141 -32.4148608880059,-63.2563701622935 -32.4148369539094,-63.2556836619672 -32.4143840426843,-63.2552166707174 -32.4141073416375,-63.254383681085 -32.415063778396,-63.2520872947909 -32.4176340907769,-63.2514099281591 -32.418392873142,-63.250805576917 -32.4190717695982,-63.2501198774533 -32.4198155303155,-63.2488704375284 -32.4190163408539,-63.2459633506358 -32.4171630227555,-63.2437499427059 -32.4157179732271,-63.2444000060353 -32.4149293679091,-63.2445819528505 -32.4146021458252,-63.2469875641469 -32.4119193935019,-63.2479517446207 -32.4108488047624,-63.2486312628935 -32.4100228964928,-63.2486130854399 -32.4099295859071,-63.2473148012358 -32.4091390747105,-63.2471545511028 -32.4091224014403,-63.2460090840283 -32.4104374653893))";"6";LINEA D
"MULTILINESTRING ((-63.2186939104286 -32.4171324930096,-63.2154998563603 -32.4180943145169,-63.2134774705311 -32.4187275894505,-63.2134150798677 -32.4187208082827,-63.2133163999036 -32.4186820520469,-63.21321372105 -32.4184341132074,-63.2087426328086 -32.4184279851269))";"7";LINEA D
"MULTILINESTRING ((-63.2087426328086 -32.4184279851269,-63.2087208694488 -32.4218118585803,-63.2109718077898 -32.4218114460166,-63.2110233874471 -32.4135887211503,-63.2132670372986 -32.4135932945324,-63.2132467827722 -32.4183754504983,-63.2133810765573 -32.4186653493527,-63.2144379704696 -32.4183486154475,-63.2182923756152 -32.4171896835713,-63.2191263057614 -32.4169257863687,-63.2195424520763 -32.4168630284146,-63.2222735693763 -32.4185865363995,-63.2258731567678 -32.4145112427682,-63.225956306761 -32.4144164936396,-63.2279719051945 -32.4121164330809,-63.2314662695507 -32.408114730643,-63.2329058481339 -32.409035424999,-63.23623923678 -32.4111634148708,-63.2364512795055 -32.4109358787826))";"8";LINEA D
"MULTILINESTRING ((-63.2460090840283 -32.4104374653893,-63.2455623555808 -32.4109257774931,-63.2449433371085 -32.4116289637298,-63.2430360791091 -32.413793142538,-63.2421529343326 -32.4147525567841,-63.2411335042733 -32.4141142186233,-63.2385134716193 -32.4124370455791,-63.2366454628354 -32.4112546761265))";"9";LINEA D
"MULTILINESTRING ((-63.2366454628354 -32.4112546761265,-63.2361502103811 -32.4111678037976,-63.2327430400857 -32.4090032048623,-63.2320485907867 -32.40976629313,-63.2302891603971 -32.4117467552772,-63.2286166967181 -32.4136601782051,-63.2274860443753 -32.4149538530046,-63.2250297609727 -32.4177656362379,-63.2208676699063 -32.4151995467515,-63.2204166552619 -32.4157257132113,-63.2194905046737 -32.4167839585114,-63.2191872086227 -32.4169860955705,-63.2186939104286 -32.4171324930096))";"10";LINEA D
