WKT;Id
"POINT (-63.2505500816499 -32.4052345669228)";"0"
"POINT (-63.24945073318 -32.4045020829663)";"0"
"POINT (-63.2566016848003 -32.4090927758435)";"0"
"POINT (-63.2714612054692 -32.410549953899)";"0"
"POINT (-63.2534266249318 -32.4129746934573)";"0"
"POINT (-63.2461903930258 -32.4188346132509)";"0"
"POINT (-63.2498090828105 -32.4167432330035)";"0"
"POINT (-63.2352802495312 -32.4166027752188)";"0"
"POINT (-63.2463891681466 -32.4125165860524)";"0"
"POINT (-63.2446290332364 -32.4119424861973)";"0"
"POINT (-63.2437705803462 -32.4128951240585)";"0"
"POINT (-63.2429552292992 -32.4138535206981)";"0"
"POINT (-63.2421722788558 -32.4148115310299)";"0"
"POINT (-63.2401732053173 -32.4164796609106)";"0"
"POINT (-63.2459311236688 -32.4171992462407)";"0"
"POINT (-63.2467585642422 -32.4162691816327)";"0"
"POINT (-63.2487696526747 -32.4100304944989)";"0"
"POINT (-63.2472062347969 -32.4090162060141)";"0"
"POINT (-63.2463752862593 -32.4099595370947)";"0"
"POINT (-63.2087091625318 -32.4236534422315)";"0"
"POINT (-63.2412774350694 -32.4098418023558)";"0"
"POINT (-63.2451646826452 -32.3942183919425)";"0"
"POINT (-63.2232050102141 -32.4192331078846)";"0"
"POINT (-63.2313698885755 -32.4165234123544)";"0"
"POINT (-63.2299836642235 -32.4170677307324)";"0"
"POINT (-63.2259759537703 -32.418369300031)";"0"
"POINT (-63.2185794289691 -32.420579617675)";"0"
"POINT (-63.2109680629407 -32.422943154927)";"0"
"POINT (-63.2165746804041 -32.4212003558511)";"0"
"POINT (-63.2366196056034 -32.4068810603341)";"0"
"POINT (-63.2348437948927 -32.4131043249255)";"0"
"POINT (-63.2389411499098 -32.40836232379)";"0"
"POINT (-63.2415494131649 -32.4054327747109)";"0"
"POINT (-63.2432865299367 -32.4035908893168)";"0"
"POINT (-63.247634385792 -32.3987299835542)";"0"
"POINT (-63.2436749849105 -32.3962726883396)";"0"
"POINT (-63.2520719728134 -32.4015551734847)";"0"
"POINT (-63.2328536214994 -32.415067111359)";"0"
"POINT (-63.2318853898229 -32.4144594725955)";"0"
"POINT (-63.2293236557587 -32.4128514606256)";"0"
"POINT (-63.2253174906817 -32.4103801154117)";"0"
"POINT (-63.2287933486547 -32.4065110929345)";"0"
"POINT (-63.2303817602157 -32.4027623594388)";"0"
"POINT (-63.2329065634062 -32.3999224436905)";"0"
"POINT (-63.2380473401279 -32.4227371242653)";"0"
"POINT (-63.2423970124165 -32.4105658948668)";"0"
"POINT (-63.2433236470835 -32.4094984384348)";"0"
"POINT (-63.2434496085988 -32.411250317961)";"0"
"POINT (-63.2418067885688 -32.4131377873665)";"0"
"POINT (-63.2241798003965 -32.4035999452858)";"0"
"POINT (-63.2420540230045 -32.417664124096)";"0"
"POINT (-63.2193392680677 -32.416811004501)";"0"
"POINT (-63.2409820024519 -32.3875771503883)";"0"
"POINT (-63.2460917656315 -32.4083102382407)";"0"
"POINT (-63.2692018460395 -32.4104110609925)";
"POINT (-63.2584246704606 -32.413251398713)";
"POINT (-63.2549987064114 -32.4110768348543)";
"POINT (-63.2515679180673 -32.4088812741906)";
"POINT (-63.2544641820112 -32.4075404341828)";
"POINT (-63.2543383995231 -32.4076946007766)";
"POINT (-63.2566957055308 -32.4089637829741)";
"POINT (-63.2506365558086 -32.4051273252344)";
"POINT (-63.2510598050004 -32.4055714913931)";
"POINT (-63.2494987210288 -32.40442526473)";
"POINT (-63.2472862036072 -32.4030193156522)";
"POINT (-63.2472016812278 -32.4031198593933)";
"POINT (-63.2431008469843 -32.4034741400262)";
"POINT (-63.2477499189315 -32.4064301640087)";
"POINT (-63.2390101183425 -32.4084239032851)";
"POINT (-63.2474437661148 -32.3986090678418)";
"POINT (-63.2550760876317 -32.4003738888321)";
"POINT (-63.250701096914 -32.3975493262331)";
"POINT (-63.2564737996104 -32.3988369426537)";
"POINT (-63.2565762733565 -32.3989067705134)";
"POINT (-63.2595441574437 -32.3955312070825)";
"POINT (-63.2594457626892 -32.395488273303)";
"POINT (-63.2594057807682 -32.3952976373718)";
"POINT (-63.253484237952 -32.4129009103352)";
"POINT (-63.2532553725178 -32.4128695842227)";
"POINT (-63.2501360595983 -32.4167135900472)";
"POINT (-63.2499904972048 -32.4168544077077)";
"POINT (-63.2483152191277 -32.4187272548069)";
"POINT (-63.2481226137559 -32.4186172187928)";
"POINT (-63.239866208628 -32.413340790305)";
"POINT (-63.2361968797837 -32.41126362715)";
"POINT (-63.2365162943029 -32.4112329147003)";
"POINT (-63.2392873259763 -32.4159441845868)";
"POINT (-63.2370766556914 -32.4145380556711)";
"POINT (-63.2346585843162 -32.4129829618662)";
"POINT (-63.2328193133481 -32.41502906176)";
"POINT (-63.2331624514046 -32.4150146253446)";
"POINT (-63.2354189744924 -32.4164383034105)";
