municerca,year_week,distancia_grande_m,distancia_rio,distancia_verde_m,edad_diagnostico,sexo,casos,longitude,latitude,t2m,d2m,tp,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,NVDI
CGC 1,2023-W49,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,293.57332502092635,286.2845023018973,2.2172927856445312e-05,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2023-W50,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,299.34341866629467,292.6014317103795,1.633167266845703e-05,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2023-W51,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,294.94559587751115,290.7759268624442,0.0003307546888078962,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2023-W52,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,297.7054922921317,288.1481454031808,2.0435878208705356e-07,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2024-W01,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,297.56129237583707,291.7994166782924,0.000755105699811663,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2024-W02,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,297.30882481166293,292.21789986746654,0.00021648406982421875,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2024-W03,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,296.18341064453125,290.05933053152904,0.00026939596448625835,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2024-W04,2347.6404694736234,3059.782386196736,473.7358933927719,41.5,1.0,2.0,-63.228003772165074,-32.39590263595998,296.74401419503346,288.970947265625,0.0,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.41587315750247533
CGC 1,2024-W05,2443.6660986063357,3092.2850067391187,378.439032276691,29.379297216899676,0.3803149567493829,0.0,-63.228003772165074,-32.39590263595998,299.9904305594308,291.28747122628346,3.6784580775669643e-06,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.3871868579666007
CGC 1,2024-W06,2338.787349394053,2996.8307610608967,467.5636169084037,25.25,0.75,4.0,-63.228003772165074,-32.39590263595998,300.17936052594865,294.87156459263394,0.0004271950040544782,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,0.3871868579666007
