municerca,fecha_agg,sexo,edad_diagnostico,lon,lat,distancia_rio,distancia_verde_m,distancia_grande_m,longitude,latitude,t2m,d2m,tp,t2m_min,t2m_max,wind_speed,ws10,dia,mes,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom,casos,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,casos_#,casos_sum_2w,casos_sum_3w,casos_sum_4w,casos_lag_1,casos_lag_2,casos_lag_3,casos_lag_4,casos_ma_4,t2m_mean_1w,t2m_mean_2w,d2m_mean_1w,d2m_mean_2w,tp_mean_1w,tp_sum_1w,tp_mean_2w,tp_sum_2w,t2m_min_mean_1w,t2m_min_mean_2w,t2m_max_mean_1w,t2m_max_mean_2w,ws10_mean_1w,ws10_mean_2w,tp_anom_mean_1w,tp_anom_sum_1w,tp_anom_mean_2w,tp_anom_sum_2w,t2m_anom_mean_1w,t2m_anom_mean_2w,d2m_anom_mean_1w,d2m_anom_mean_2w,t2m_min_anom_mean_1w,t2m_min_anom_mean_2w,t2m_max_anom_mean_1w,t2m_max_anom_mean_2w,vec_lag1,vec_lag2,vec_lag3,vec_sum_2w,vec_sum_3w,Vecinos_total
CGC 1,2024-01-16,1.0,35.0,-63.2303152,-32.3960078,3059.782386196736,473.7358933927719,2347.6404694736234,-63.25,-32.5,295.596435546875,288.82122802734375,0.0,290.4913330078125,301.65252685546875,,2.4083584422330206,22.0,1.0,-2.118393226906105e-06,-2.7543185763888687,-1.6572105125144958,-1.866842764395244,-3.0305621111834284,2.304147465437788,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,1,,,,,,,,,295.596435546875,296.5365905761719,288.82122802734375,289.2002258300781,0.0,0.0,0.0,0.0,290.4913330078125,291.1891784667969,301.65252685546875,302.7964172363281,2.4083584422330206,2.968267923010008,-2.118393226906105e-06,-2.118393226906105e-06,-6.775944321243851e-06,-1.3551888642487703e-05,-2.7543185763888687,-1.5871148003472229,-1.6572105125144958,-2.0899817572699817,-1.866842764395244,-1.725629905418117,-3.0305621111834284,-1.5561855740017165,3.797345189745422,8.369427524375293,0.0,12.166772714120714,12.166772714120714,12.166772714120714
CGC 1,2024-01-23,1.0,48.0,-63.2303152,-32.3960078,3059.782386196736,473.7358933927719,2347.6404694736234,-63.25,-32.5,297.47674560546875,289.5792236328125,0.0,291.88702392578125,303.9403076171875,,3.5281774037869957,25.0,1.0,-1.1433495415581597e-05,-0.41991102430557703,-2.5227530020254676,-1.58441704644099,-0.08180903682000462,2.304147465437788,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,1,,,,2.304147465437788,,,,,295.596435546875,296.5365905761719,288.82122802734375,289.2002258300781,0.0,0.0,0.0,0.0,290.4913330078125,291.1891784667969,301.65252685546875,302.7964172363281,2.4083584422330206,2.968267923010008,-2.118393226906105e-06,-2.118393226906105e-06,-6.775944321243851e-06,-1.3551888642487703e-05,-2.7543185763888687,-1.5871148003472229,-1.6572105125144958,-2.0899817572699817,-1.866842764395244,-1.725629905418117,-3.0305621111834284,-1.5561855740017165,3.797345189745422,3.797345189745422,8.369427524375293,7.594690379490844,15.964117903866137,15.964117903866137
CGC 1,2024-01-30,1.0,26.0,-63.2324396,-32.3987392,2710.8989622042122,646.3154385652247,2582.032942860273,-63.25,-32.5,297.219482421875,293.12115478515625,6.9141387939453125e-06,292.366455078125,306.33203125,,1.703264525601123,5.0,2.0,-0.00021354798917417174,-0.45532543041088047,0.8351537633825501,-1.168142813223369,2.7859214500144844,2.304147465437788,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,1,4.608294930875576,,,2.304147465437788,2.304147465437788,,,,297.47674560546875,296.5365905761719,289.5792236328125,289.2002258300781,0.0,0.0,0.0,0.0,291.88702392578125,291.1891784667969,303.9403076171875,302.7964172363281,3.5281774037869957,2.968267923010008,-1.1433495415581597e-05,-1.1433495415581597e-05,-6.775944321243851e-06,-1.3551888642487703e-05,-0.41991102430557703,-1.5871148003472229,-2.5227530020254676,-2.0899817572699817,-1.58441704644099,-1.725629905418117,-0.08180903682000462,-1.5561855740017165,4.671853278945247,3.797345189745422,3.797345189745422,8.469198468690669,12.266543658436092,12.266543658436092
CGC 1,2024-02-06,0.6666666666666666,25.0,-63.23145953333333,-32.3954171,3092.141360679792,407.97967635613,2257.7054849053125,-63.25,-32.5,302.0760091145833,295.0215657552083,1.5894571940104167e-06,299.6249593098958,305.7515462239583,,2.4769005779599174,8.666666666666666,2.0,-6.137953864203559e-06,0.5682629997347703,1.9074578932773913,2.5078051154995933,-1.5632304627218143,6.912442396313364,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,3,4.608294930875576,6.912442396313363,,2.304147465437788,2.304147465437788,2.304147465437788,,,297.219482421875,297.3481140136719,293.12115478515625,291.3501892089844,6.9141387939453125e-06,6.9141387939453125e-06,3.4570693969726562e-06,6.9141387939453125e-06,292.366455078125,292.1267395019531,306.33203125,305.13616943359375,1.703264525601123,2.6157209646940593,-0.00021354798917417174,-0.00021354798917417174,-0.00011249074229487666,-0.00022498148458975333,-0.45532543041088047,-0.43761822735822875,0.8351537633825501,-0.8437996193214587,-1.168142813223369,-1.3762799298321795,2.7859214500144844,1.35205620659724,20.436429294180638,4.671853278945247,3.797345189745422,25.108282573125884,28.90562776287131,28.90562776287131
CGC 1,2024-02-13,0.5,37.5,-63.23035165,-32.39749095,2901.990636227444,558.6963557596963,2506.361709683712,-63.25,-32.5,295.505615234375,290.5647277832031,0.0,290.49322509765625,302.4891357421875,,2.708792678511521,16.0,2.0,-0.0004909621344672309,-0.6351630316840442,-1.447750289351859,-2.1727281358507184,1.4842470522279996,4.608294930875576,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,2,9.216589861751151,11.52073732718894,13.824884792626728,6.912442396313364,2.304147465437788,2.304147465437788,2.304147465437788,3.456221198156682,302.0760091145833,299.64774576822913,295.0215657552083,294.07136027018225,1.5894571940104167e-06,1.5894571940104167e-06,4.251797993977864e-06,8.503595987955729e-06,299.6249593098958,295.9957071940104,305.7515462239583,306.04178873697913,2.4769005779599174,2.09008255178052,-6.137953864203559e-06,-6.137953864203559e-06,-0.00010984297151918764,-0.0002196859430383753,0.5682629997347703,0.05646878466194494,1.9074578932773913,1.3713058283299708,2.5078051154995933,0.6698311511381121,-1.5632304627218143,0.6113454936463351,34.05290535375488,20.436429294180638,4.671853278945247,54.48933464793552,59.161187926880764,59.161187926880764
CGC 1,2024-02-20,0.3333333333333333,25.666666666666668,-63.2276411,-32.39522083333333,3232.3125853961033,346.65253509034295,2385.4249802510326,-63.25,-32.5,296.9067077636719,293.00689697265625,0.0006570816040039062,292.9325764973958,302.2436930338542,,2.7654617010858886,21.666666666666668,2.0,0.00044446197556860653,-1.4222470883970004,0.49313723717206887,-1.1900327329282543,-2.3496224109037294,6.912442396313364,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,3,11.52073732718894,13.82488479262673,16.129032258064516,4.608294930875576,6.912442396313364,2.304147465437788,2.304147465437788,4.032258064516129,295.505615234375,298.79081217447913,290.5647277832031,292.7931467692057,0.0,0.0,7.947285970052084e-07,1.5894571940104167e-06,290.49322509765625,295.059092203776,302.4891357421875,304.1203409830729,2.708792678511521,2.592846628235719,-0.0004909621344672309,-0.0004909621344672309,-0.00024855004416571725,-0.0004971000883314345,-0.6351630316840442,-0.033450015974636926,-1.447750289351859,0.22985380196276617,-2.1727281358507184,0.16753848982443742,1.4842470522279996,-0.03949170524690737,22.484758305526405,34.05290535375488,20.436429294180638,56.537663659281286,76.97409295346192,76.97409295346192
CGC 1,2024-02-27,0.5714285714285714,26.142857142857142,-63.22927984285714,-32.3961432,3090.1185622377698,373.130745485741,2430.9831610052206,-63.25,-32.5,296.0151672363281,291.21761648995533,7.101467677525111e-06,292.4810355050223,300.81727382114957,,1.7555477952091951,13.571428571428571,2.5714285714285716,-0.00013251708298133165,-1.8105837544436147,-1.4692429638413387,-1.592852395678319,-2.673606783750821,16.129032258064516,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,7,11.52073732718894,18.433179723502306,20.737327188940093,6.912442396313364,4.608294930875576,6.912442396313364,2.304147465437788,5.184331797235023,296.9067077636719,296.20616149902344,293.00689697265625,291.7858123779297,0.0006570816040039062,0.0006570816040039062,0.0003285408020019531,0.0006570816040039062,292.9325764973958,291.712900797526,302.2436930338542,302.36641438802087,2.7654617010858886,2.737127189798705,0.00044446197556860653,0.00044446197556860653,-2.3250079449312197e-05,-4.6500158898624393e-05,-1.4222470883970004,-1.0287050600405223,0.49313723717206887,-0.4773065260898951,-1.1900327329282543,-1.6813804343894865,-2.3496224109037294,-0.4326876793378649,21.410708327695836,22.484758305526405,34.05290535375488,43.895466633222235,77.94837198697712,77.94837198697712
CGC 1,2024-03-05,0.5454545454545454,33.27272727272727,-63.226168200000004,-32.39604276363636,3202.683290354366,315.5538087384867,2543.6730250117853,-63.25,-32.5,296.65994540127843,291.63556185635656,0.0001257766376842152,292.99877374822444,302.23612837357956,,2.7986261551524243,7.818181818181818,3.0,-9.794732938310513e-05,-1.4644849372632611,-0.023889735571851197,-0.7713096336082169,-2.4431591714672694,25.34562211981567,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,11,23.04147465437788,27.649769585253452,34.56221198156682,16.129032258064516,6.912442396313364,4.608294930875576,6.912442396313364,8.640552995391705,296.0151672363281,296.4609375,291.21761648995533,292.1122567313058,7.101467677525111e-06,7.101467677525111e-06,0.0003320915358407157,0.0006641830716814313,292.4810355050223,292.7068060012091,300.81727382114957,301.53048342750185,1.7555477952091951,2.2605047481475418,-0.00013251708298133165,-0.00013251708298133165,0.00015597244629363745,0.0003119448925872749,-1.8105837544436147,-1.6164154214203075,-1.4692429638413387,-0.48805286333463493,-1.592852395678319,-1.3914425643032866,-2.673606783750821,-2.5116145973272754,29.404482484448174,21.410708327695836,22.484758305526405,50.815190812144,73.29994911767041,73.29994911767041
CGC 1,2024-03-12,0.3125,33.1875,-63.22760024375,-32.39652993125,3099.0487978990786,373.03182458946964,2532.667729580608,-63.25,-32.5,297.52928352355957,295.6557559967041,0.0005897879600524902,295.82769203186035,300.55030059814453,,2.1585781789190874,14.9375,3.0,0.0003823445351035507,0.44098868193450613,3.3457908347800966,1.9727090199788435,-1.5295802646212984,36.866359447004605,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,16,41.474654377880185,48.387096774193544,52.995391705069125,25.34562211981567,16.129032258064516,6.912442396313364,4.608294930875576,13.248847926267281,296.65994540127843,296.3375563188033,291.63556185635656,291.42658917315595,0.0001257766376842152,0.0001257766376842152,6.643905268087016e-05,0.0001328781053617403,292.99877374822444,292.73990462662334,302.23612837357956,301.5267010973646,2.7986261551524243,2.2770869751808096,-9.794732938310513e-05,-9.794732938310513e-05,-0.00011523220618221839,-0.00023046441236443678,-1.4644849372632611,-1.637534345853438,-0.023889735571851197,-0.746566349706595,-0.7713096336082169,-1.1820810146432679,-2.4431591714672694,-2.558382977609045,33.47771009750117,29.404482484448174,21.410708327695836,62.88219258194934,84.29290090964518,84.29290090964518
CGC 1,2024-03-19,0.4375,40.875,-63.22781036875,-32.397038275,3043.555114104593,357.0208031619455,2584.3657235038463,-63.25,-32.5,293.0109405517578,285.93090057373047,5.81890344619751e-06,288.63245391845703,299.77814292907715,,3.4181451631589344,22.6875,3.0,-0.0002838398019472758,-1.124935418588148,-4.294742485328943,-2.380758553964121,1.0091881787335488,36.866359447004605,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,16,62.21198156682027,78.34101382488478,85.25345622119815,36.866359447004605,25.34562211981567,16.129032258064516,6.912442396313364,21.313364055299537,297.52928352355957,297.09461446241903,295.6557559967041,293.64565892653036,0.0005897879600524902,0.0005897879600524902,0.0003577822988683527,0.0007155645977367054,295.82769203186035,294.4132328900424,300.55030059814453,301.393214485862,2.1585781789190874,2.478602167035756,0.0003823445351035507,0.0003823445351035507,0.00014219860286022277,0.00028439720572044554,0.44098868193450613,-0.5117481276643775,3.3457908347800966,1.6609505496041228,1.9727090199788435,0.6006996931853134,-1.5295802646212984,-1.9863697180442839,45.14562809004502,33.47771009750117,29.404482484448174,78.6233381875462,108.02782067199438,108.02782067199438
