WKT;ENTITYID;PAR_IDPARC;NOMENCLATU;NUM_PARC;NRO_CUENTA;DESIG_OFIC;FXF;VUT_VIGENT;VALUACION;VIGENCIA_D;PORCENTAJE;SUPERFICIE;VALUACION2;SUPERFICI1;VALUACION1;CANTIDAD_C;NRO_CUENT2;PED_NOMENC
"MULTIPOLYGON (((-63.2174334534591 -32.4084815473536,-63.2175477260427 -32.408481068337,-63.2175476591179 -32.4084531703481,-63.2175474826804 -32.4083796211038,-63.217547223771 -32.4082716925176,-63.2175153336329 -32.4082717475654,-63.2174336158291 -32.4082721703862,-63.2174335241712 -32.4083724910038,-63.2174336795711 -32.4084373045147,-63.2174334534591 -32.4084815473536)))";"651713402";"788872";"1604220301187012";"012";EDIFICADO NoPH;MZ 8 LT 12;1.100000000000000;2240.00000;1403914.8800000;"0";0.0000000;253.00000;623392.0000;89.0000;780522.8800;"1";"160419170698";"1604"
"MULTIPOLYGON (((-63.2360259764742 -32.3859337233397,-63.2361120032548 -32.3862497254571,-63.2362362612368 -32.3862253703668,-63.2361502340756 -32.3859093684368,-63.2360259764742 -32.3859337233397)))";"820447045";"2403756";"1604220202370129";"129";BALDIO;MZ 370 - LT 129;1.000000000000000;1680.00000;725155.2000000;"0";0.0000000;431.64000;725155.2000;0.0000;0.0000;"1";"160442075911";"1604"
"MULTIPOLYGON (((-63.2020696994852 -32.4117652537478,-63.2020699205362 -32.4118644469163,-63.2023228202925 -32.4118640411256,-63.2023878702042 -32.4117647431454,-63.2020696994852 -32.4117652537478)))";"1334916004";"2467124";"1604220303027112";"112";BALDIO;MZ 27 - LT 112;1.200000000000000;1050.00000;372279.6000000;"0";0.0000000;295.46000;372279.6000;0.0000;0.0000;"1";"160442600128";"1604"
"MULTIPOLYGON (((-63.2337047094712 -32.4021167346091,-63.2336295129336 -32.4020675591677,-63.2335959068528 -32.4020453593238,-63.2335329789087 -32.4021167711369,-63.2336411165055 -32.4021878659093,-63.2337252968924 -32.4022429424651,-63.2337725444211 -32.4022738527456,-63.2338152682481 -32.4022250222335,-63.2338348079514 -32.4022024420476,-63.2338111834648 -32.4021867051232,-63.2337047094712 -32.4021167346091)))";"349709802";"777567";"1604220201083042";"042";EDIFICADO NoPH;MZ 2 LT I;1.000000000000000;3640.00000;2138090.8800000;"0";0.0000000;286.00000;1041040.0000;109.0000;1097050.8800;"1";"160415507825";"1604"
"MULTIPOLYGON (((-63.2476218235577 -32.3949217507344,-63.2477247872918 -32.3948000928833,-63.2473235287809 -32.3945444434,-63.2472142434156 -32.3946621681362,-63.2476218235577 -32.3949217507344)))";"1362503";"781395";"1604220202073009";"009";BALDIO;MZ 10 LT 7 A;0.900000000000000;2380.00000;1634346.0000000;"0";0.0000000;763.00000;1634346.0000;0.0000;0.0000;"1";"160417779946";"1604"
"MULTIPOLYGON (((-63.2474290319974 -32.4088709016559,-63.2473263688402 -32.4089869224772,-63.2474817726712 -32.4090858105431,-63.2475850962747 -32.4089683793061,-63.2474290319974 -32.4088709016559)))";"1368666";"773805";"1604220201001022";"022";EDIFICADO NoPH;MZ 80 BIS LT 1-2;1.200000000000000;16800.00000;12590196.4800000;"0";0.0000000;297.00000;5987520.0000;519.0000;6602676.4800;"1";"160422311723";"1604"
"MULTIPOLYGON (((-63.2117845509512 -32.4075271770278,-63.2114656517424 -32.4075279125052,-63.2114659405805 -32.4076180879637,-63.2117848401064 -32.4076173524843,-63.2117845509512 -32.4075271770278)))";"607729202";"2109435";"1604220301209026";"026";BALDIO;MZ 209 - LT 26;1.000000000000000;1890.00000;567000.0000000;"0";0.0000000;300.00000;567000.0000;0.0000;0.0000;"1";"160440262381";"1604"
"MULTIPOLYGON (((-63.2110805377158 -32.4202853474363,-63.2114306890489 -32.4202751791877,-63.2114088914734 -32.4201884218079,-63.2110793310307 -32.4201951739185,-63.2110805377158 -32.4202853474363)))";"802708602";"793035";"1604220302142021";"021";EDIFICADO NoPH;MZ 28 LT 7;1.000000000000000;1260.00000;2716646.8800000;"0";0.0000000;329.00000;414540.0000;278.0000;2302106.8800;"1";"160419167263";"1604"
"MULTIPOLYGON (((-63.2614647172701 -32.413330485244,-63.2614840209997 -32.413342844319,-63.2614956701689 -32.4133504287025,-63.2615219640617 -32.4133675638385,-63.2615439303368 -32.4133816081688,-63.2616221452463 -32.4134321695185,-63.2616863908436 -32.4133618683061,-63.2616085106052 -32.4133121516959,-63.2615559244552 -32.4132784450477,-63.2615469386299 -32.4132728277305,-63.2615020078946 -32.4132441775414,-63.2614926890572 -32.4132382791128,-63.2614068222779 -32.4131837883763,-63.2613748712136 -32.4131632833689,-63.2613136096826 -32.4132316056477,-63.2613668650022 -32.4132670018004,-63.2613851712739 -32.413279081161,-63.2613908285283 -32.4132824510071,-63.2614044749818 -32.4132914402483,-63.2614647172701 -32.413330485244)))";"642428002";"767708";"1604220102060028";"028";EDIFICADO NoPH;MZ J LT 3G;0.900000000000000;5880.00000;4422815.8400000;"0";0.0000000;345.00000;1825740.0000;176.0000;2597075.8400;"1";"160415545450";"1604"
"MULTIPOLYGON (((-63.2366333611867 -32.3950779530381,-63.2363389890751 -32.3948849585987,-63.2362701348993 -32.3949606285518,-63.2365646771106 -32.395153469178,-63.2366333611867 -32.3950779530381)))";"1214199004";"779850";"1604220202016005";"005";BALDIO;MZ 32 LT 18;0.900000000000000;1750.00000;551250.0000000;"0";0.0000000;350.00000;551250.0000;0.0000;0.0000;"1";"160404071545";"1604"
