WKT;gid
"MULTIPOLYGON (((-63.2292602003291 -32.3867437163658,-63.2285333869025 -32.3840633832024,-63.2233581078371 -32.3849073194227,-63.2241536580514 -32.3877606453201,-63.2292602003291 -32.3867437163658,-63.2292602003291 -32.3867437163658)))";"1"
"MULTIPOLYGON (((-63.2233581078371 -32.3849073194227,-63.2285333869025 -32.3840633832024,-63.2277432769222 -32.381245077586,-63.2225456513565 -32.3820937404013,-63.2233581078371 -32.3849073194227,-63.2233581078371 -32.3849073194227)))";"2"
"MULTIPOLYGON (((-63.2277432769222 -32.381245077586,-63.2272514151057 -32.3794905155828,-63.2220663650638 -32.3803518725875,-63.2225456513565 -32.3820937404013,-63.2277432769222 -32.381245077586,-63.2277432769222 -32.381245077586)))";"3"
"MULTIPOLYGON (((-63.2272514151057 -32.3794905155828,-63.2266366135565 -32.3772973109514,-63.2214945541565 -32.3783351716861,-63.2220663650638 -32.3803518725875,-63.2272514151057 -32.3794905155828,-63.2272514151057 -32.3794905155828)))";"4"
"MULTIPOLYGON (((-63.2266366135565 -32.3772973109514,-63.2265524798719 -32.3770126899945,-63.2214206857236 -32.3780746436396,-63.2214945541565 -32.3783351716861,-63.2266366135565 -32.3772973109514,-63.2266366135565 -32.3772973109514)))";"5"
"MULTIPOLYGON (((-63.2265524798719 -32.3770126899945,-63.2262701677319 -32.3760035369266,-63.2211290518663 -32.3770460495238,-63.2214206857236 -32.3780746436396,-63.2265524798719 -32.3770126899945,-63.2265524798719 -32.3770126899945)))";"6"
"MULTIPOLYGON (((-63.2262701677319 -32.3760035369266,-63.2260244537662 -32.3751251838513,-63.2208789777382 -32.3761640196643,-63.2211290518663 -32.3770460495238,-63.2262701677319 -32.3760035369266,-63.2262701677319 -32.3760035369266)))";"7"
"MULTIPOLYGON (((-63.2260244537662 -32.3751251838513,-63.2247735308123 -32.3706503947425,-63.2221860734961 -32.3711726661624,-63.2199801830216 -32.372993746081,-63.2208789777382 -32.3761640196643,-63.2260244537662 -32.3751251838513,-63.2260244537662 -32.3751251838513)))";"8"
"MULTIPOLYGON (((-63.2247735308123 -32.3706503947425,-63.2244261864791 -32.3694228213185,-63.2221860760863 -32.3711726645066,-63.2247735308123 -32.3706503947425,-63.2247735308123 -32.3706503947425)))";"9"
"MULTIPOLYGON (((-63.2165719688509 -32.3830909169501,-63.222410291445 -32.3816164189969,-63.2199801830216 -32.372993746081,-63.2122425312953 -32.3803243321179,-63.2165719688509 -32.3830909169501,-63.2165719688509 -32.3830909169501)))";"10"
