WKT;gid
"MULTILINESTRING ((-63.2741104459749 -32.409125938667,-63.2741101588435 -32.4091783197665,-63.274004014926 -32.4104461854654))";"1"
"MULTILINESTRING ((-63.2742341522781 -32.4077454428973,-63.2741119310592 -32.4090649831474,-63.2741104459749 -32.409125938667))";"2"
"MULTILINESTRING ((-63.2732151579952 -32.4076743435045,-63.2742341522781 -32.4077454428973))";"3"
"MULTILINESTRING ((-63.2742341522781 -32.4077454428973,-63.2751848000789 -32.4078001617691))";"4"
"MULTILINESTRING ((-63.2667543458452 -32.4224510796004,-63.2667244748442 -32.4233556917261))";"5"
"MULTILINESTRING ((-63.2638219862866 -32.421530972677,-63.2634571652405 -32.4219564666998))";"6"
"MULTILINESTRING ((-63.2662274819846 -32.4217786742604,-63.2655105366835 -32.4225954625861))";"7"
"MULTILINESTRING ((-63.2647945376089 -32.4221393294986,-63.2655105366835 -32.4225954625861))";"8"
"MULTILINESTRING ((-63.2647945376089 -32.4221393294986,-63.2640680292286 -32.4229634339204))";"9"
"MULTILINESTRING ((-63.2655105366835 -32.4225954625861,-63.2662135605741 -32.4230476512507))";"10"
"MULTILINESTRING ((-63.2640680292286 -32.4229634339204,-63.2639210518251 -32.423130205592))";"11"
"MULTILINESTRING ((-63.2662135605741 -32.4230476512507,-63.2667244748442 -32.4233556917261))";"12"
"MULTILINESTRING ((-63.2655105366835 -32.4225954625861,-63.2647813938196 -32.4234266102817))";"13"
"MULTILINESTRING ((-63.2640680292286 -32.4229634339204,-63.2647813938196 -32.4234266102817))";"14"
"MULTILINESTRING ((-63.2647813938196 -32.4234266102817,-63.2654897388761 -32.4238796033118))";"15"
"MULTILINESTRING ((-63.2662135605741 -32.4230476512507,-63.2654897388761 -32.4238796033118))";"16"
"MULTILINESTRING ((-63.2639210518251 -32.423130205592,-63.264206558685 -32.4239845216385,-63.2642555880061 -32.4240256669213))";"17"
"MULTILINESTRING ((-63.2647813938196 -32.4234266102817,-63.2642555880061 -32.4240256669213))";"18"
