id,paradas,linea,lon,lat
paradas_omnibus.1,,16,-63.2431998,-32.4137368
paradas_omnibus.2,,16,-63.2410004,-32.4159059
paradas_omnibus.3,,16,-63.2361027,-32.4139971
paradas_omnibus.4,,16,-63.2334982,-32.4148418
paradas_omnibus.5,,16,-63.2285897,-32.4126929
paradas_omnibus.6,,16,-63.2261301,-32.4110467
paradas_omnibus.7,,16,-63.2240809,-32.4100005
paradas_omnibus.8,,16,-63.2216241,-32.4095703
paradas_omnibus.9,,16,-63.218215,-32.4086871
paradas_omnibus.10,,16,-63.2154079,-32.4073003
paradas_omnibus.11,,16,-63.2138308,-32.4068926
paradas_omnibus.12,,16,-63.2121196,-32.4068972
paradas_omnibus.13,,16,-63.2119854,-32.4083691
paradas_omnibus.14,,16,-63.2114168,-32.4107151
paradas_omnibus.15,,16,-63.212184,-32.4134731
paradas_omnibus.16,,16,-63.2163615,-32.4110785
paradas_omnibus.17,,16,-63.221876,-32.4087145
paradas_omnibus.18,,16,-63.2242348,-32.4095558
paradas_omnibus.19,,16,-63.226241,-32.4106699
paradas_omnibus.20,,16,-63.2289554,-32.4123183
paradas_omnibus.21,,16,-63.233129,-32.4145464
paradas_omnibus.22,,16,-63.2367982,-32.4128074
paradas_omnibus.23,,16,-63.239251,-32.4121135
paradas_omnibus.24,,16,-63.2410105,-32.4102024
paradas_omnibus.25,,16,-63.2432099,-32.4080013
paradas_omnibus.26,,16,-63.2458886,-32.4104127
paradas_omnibus.27,,16,-63.2110709,-32.4126917
paradas_omnibus.28,,16,-63.2146652,-32.4128208
paradas_omnibus.29,,16,-63.218431,-32.4088083
paradas_omnibus.30,,16 B,-63.2431955,-32.4136788
paradas_omnibus.31,,16 B,-63.2410006,-32.4159847
paradas_omnibus.32,,16 B,-63.2360814,-32.4140872
paradas_omnibus.33,,16 B,-63.2335279,-32.4149431
paradas_omnibus.34,,16 B,-63.2284827,-32.4127128
paradas_omnibus.35,,16 B,-63.2260981,-32.4110575
paradas_omnibus.36,,16 B,-63.2240812,-32.4099072
paradas_omnibus.37,,16 B,-63.221989,-32.4084307
paradas_omnibus.38,,16 B,-63.2170538,-32.4052446
paradas_omnibus.39,,16 B,-63.2145312,-32.4055073
paradas_omnibus.40,,16 B,-63.2146129,-32.4066078
paradas_omnibus.41,,16 B,-63.2160409,-32.407651
paradas_omnibus.42,,16 B,-63.218537,-32.4084874
paradas_omnibus.43,,16 B,-63.2163979,-32.4114413
paradas_omnibus.44,,16 B,-63.2149912,-32.413066
paradas_omnibus.45,,16 B,-63.2111744,-32.4128826
paradas_omnibus.46,,16 B,-63.2123492,-32.4135212
paradas_omnibus.47,,16 B,-63.2145889,-32.4140238
paradas_omnibus.48,,16 B,-63.2154727,-32.4160616
paradas_omnibus.49,,16 B,-63.2178638,-32.417282
paradas_omnibus.50,,16 B,-63.2216646,-32.4141211
paradas_omnibus.51,,16 B,-63.2260489,-32.410682
