municerca,fecha_agg,sexo,edad_diagnostico,lon,lat,distancia_rio,distancia_verde_m,distancia_grande_m,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom,casos,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,casos_sum_2w,casos_sum_3w,casos_sum_4w,casos_lag_1,casos_lag_2,casos_lag_3,casos_lag_4,casos_ma_4,tp_mean_1w,tp_sum_1w,tp_mean_2w,tp_sum_2w,t2m_mean_1w,t2m_mean_2w,d2m_mean_1w,d2m_mean_2w,t2m_min_mean_1w,t2m_min_mean_2w,t2m_max_mean_1w,t2m_max_mean_2w,tp_anom_mean_1w,tp_anom_sum_1w,tp_anom_mean_2w,tp_anom_sum_2w,t2m_anom_mean_1w,t2m_anom_mean_2w,d2m_anom_mean_1w,d2m_anom_mean_2w,t2m_min_anom_mean_1w,t2m_min_anom_mean_2w,t2m_max_anom_mean_1w,t2m_max_anom_mean_2w,vec_lag1,vec_lag2,vec_lag3,vec_sum_2w,vec_sum_3w,Vecinos_total
CGC 1,2024-01-17,1.0,41.5,-63.2303152,-32.3960078,3059.782386196736,473.7358933927719,2347.6404694736234,0.013978593513271756,24.158699590713532,15.55841542860898,18.441833503021392,29.686771508492885,-7.3057156141076245,-2.934995550306743,-2.818390830546292,-3.2624958514010425,-2.760868683448147,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,,,,,,,,,0.013978593513271756,0.013978593513271756,13.046751660815806,26.093503321631612,24.158699590713532,26.308917597577384,15.55841542860898,18.244385100085857,18.441833503021392,21.516082563039433,29.686771508492885,32.06856093126835,-7.3057156141076245,-7.3057156141076245,3.084140540887149,6.168281081774298,-2.934995550306743,-0.08840666703981204,-2.818390830546292,0.28046157692471185,-3.2624958514010425,0.19233195510989876,-2.760868683448147,0.14267852518498514,11.0,2.0,3.0,13.0,16.0,16.0
CGC 1,2024-01-31,0.75,25.25,-63.23170455,-32.396247625,2996.8307610608967,467.5636169084037,2338.787349394053,26.07952472811834,28.459135604441233,20.930354771562737,24.59033162305747,34.45035035404381,13.473996695881922,2.758182216227119,3.379313984395716,3.64715976162084,3.046225733818117,4,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,,,,2.0,,,,,0.013978593513271756,0.013978593513271756,13.046751660815806,26.093503321631612,24.158699590713532,26.308917597577384,15.55841542860898,18.244385100085857,18.441833503021392,21.516082563039433,29.686771508492885,32.06856093126835,-7.3057156141076245,-7.3057156141076245,3.084140540887149,6.168281081774298,-2.934995550306743,-0.08840666703981204,-2.818390830546292,0.28046157692471185,-3.2624958514010425,0.19233195510989876,-2.760868683448147,0.14267852518498514,13.0,11.0,2.0,24.0,26.0,26.0
CGC 1,2024-02-14,0.2857142857142857,28.857142857142858,-63.2299019,-32.395930928571424,3087.198987848254,403.16761903119,2372.070928032903,81.23398691093837,24.0253325852431,18.96979428278351,19.932015985822755,28.77434447538347,3.0465722220708074,-0.2693979312208895,0.9999385413129305,0.2288567867590166,-0.714837285374219,7,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,6.0,,,4.0,2.0,,,,26.07952472811834,26.07952472811834,13.046751660815806,26.093503321631612,28.459135604441233,26.308917597577384,20.930354771562737,18.244385100085857,24.59033162305747,21.516082563039433,34.45035035404381,32.06856093126835,13.473996695881922,13.473996695881922,3.084140540887149,6.168281081774298,2.758182216227119,-0.08840666703981204,3.379313984395716,0.28046157692471185,3.64715976162084,0.19233195510989876,3.046225733818117,0.14267852518498514,59.0,13.0,11.0,72.0,83.0,83.0
CGC 1,2024-02-28,0.5555555555555556,31.444444444444443,-63.22651743333333,-32.39617957222222,3174.570137784438,352.24136568001427,2544.7216589811005,18.740089550164125,24.046797111047393,18.453553476305597,19.971888840889076,28.95834866528265,-41.17830887737278,-0.49491463027054294,0.6146362185492331,-0.22770896757205428,-0.5803727160107527,18,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,11.0,13.0,,7.0,4.0,2.0,,,81.23398691093837,81.23398691093837,53.65675581952836,107.31351163905671,24.0253325852431,26.242234094842168,18.96979428278351,19.950074527173122,19.932015985822755,22.261173804440112,28.77434447538347,31.61234741471364,3.0465722220708074,3.0465722220708074,8.260284458976365,16.52056891795273,-0.2693979312208895,1.2443921425031148,0.9999385413129305,2.1896262628543233,0.2288567867590166,1.9380082741899283,-0.714837285374219,1.165694224221949,48.0,59.0,13.0,107.0,120.0,120.0
CGC 1,2024-03-13,0.42857142857142855,36.57142857142857,-63.22818045428572,-32.396757505714284,3059.1706624262138,368.71192060577937,2536.0332798003474,66.08458717793557,22.510916399615635,17.229295555379107,19.146769660003073,26.83666682144738,-2.0144246277972186,0.8582576440255884,1.1333203325644563,1.1349211860757429,0.7658370920947042,35,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,25.0,29.0,31.0,18.0,7.0,4.0,2.0,7.75,18.740089550164125,18.740089550164125,49.98703823055125,99.9740764611025,24.046797111047393,24.036064848145244,18.453553476305597,18.711673879544556,19.971888840889076,19.951952413355915,28.95834866528265,28.866346570333057,-41.17830887737278,-41.17830887737278,-19.065868327650985,-38.13173665530197,-0.49491463027054294,-0.3821562807457162,0.6146362185492331,0.8072873799310818,-0.22770896757205428,0.0005739095934811644,-0.5803727160107527,-0.6476050006924858,71.0,48.0,59.0,119.0,178.0,178.0
CGC 1,2024-03-27,0.42408376963350786,31.230366492146597,-63.22827246806283,-32.39616947801047,3117.042807518522,358.65171845703236,2470.1789403964744,51.46309014172238,20.335920386915614,14.767506287412239,16.290406011668694,25.067757982129955,33.32451757554292,1.4862592830451042,2.322389904460518,1.6318217169695153,1.2980049675116256,191,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,53.0,60.0,64.0,35.0,18.0,7.0,4.0,16.0,66.08458717793557,66.08458717793557,42.41233836404985,84.8246767280997,22.510916399615635,23.278856755331514,17.229295555379107,17.841424515842355,19.146769660003073,19.559329250446076,26.83666682144738,27.89750774336501,-2.0144246277972186,-2.0144246277972186,-21.596366752585,-43.19273350517,0.8582576440255884,0.1816715068775227,1.1333203325644563,0.8739782755568447,1.1349211860757429,0.4536061092518443,0.7658370920947042,0.09273218804197575,101.0,71.0,48.0,172.0,220.0,220.0
CGC 1,2024-04-10,0.8125,26.5,-63.22920185,-32.396382525,3063.519438640403,364.89403238926656,2454.5969988709876,70.81708979830873,16.779912259130576,12.497136035631051,14.030717701461352,20.23571924373513,26.815767395039884,-1.281003318281074,-0.07391054590216972,-0.3580841275588295,-2.177527462061853,16,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,226.0,244.0,251.0,191.0,35.0,18.0,7.0,62.75,51.46309014172238,51.46309014172238,58.77383865982898,117.54767731965796,20.335920386915614,21.423418393265624,14.767506287412239,15.998400921395675,16.290406011668694,17.718587835835883,25.067757982129955,25.952212401788664,33.32451757554292,33.32451757554292,15.65504647387285,31.3100929477457,1.4862592830451042,1.1722584635353464,2.322389904460518,1.727855118512487,1.6318217169695153,1.383371451522629,1.2980049675116256,1.031921029803165,445.0,101.0,71.0,546.0,617.0,617.0
CGC 1,2024-04-24,0.18181818181818182,29.818181818181817,-63.22847079090909,-32.39502241818182,3226.757417036612,332.12331823660173,2332.1625886235593,21.202086743497592,14.932387580719125,8.962441866402527,11.409306739368533,19.259644898582906,5.756190315769248,-1.46355892003981,-0.6995203735083306,-0.690796095621996,-2.3517029549524477,11,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,207.0,242.0,260.0,16.0,191.0,35.0,18.0,65.0,70.81708979830873,70.81708979830873,61.14008997001556,122.28017994003112,16.779912259130576,18.557916323023093,12.497136035631051,13.632321161521647,14.030717701461352,15.160561856565023,20.23571924373513,22.65173861293254,26.815767395039884,26.815767395039884,30.070142485291402,60.140284970582805,-1.281003318281074,0.10262798238201509,-0.07391054590216972,1.124239679279174,-0.3580841275588295,0.6368687947053429,-2.177527462061853,-0.4397612472751138,88.0,445.0,101.0,533.0,634.0,634.0
CGC 1,2024-10-09,0.0,56.0,-63.2329478,-32.3980995,2765.5736616965473,616.7072152172404,2501.839113320787,0.0008647983777336776,21.37155008314954,12.475355059822757,14.412424201212946,29.030206028728458,-37.293629837439056,3.056721051523159,4.193371174322592,2.1854056329620786,3.4877645546616223,1,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,27.0,218.0,253.0,11.0,16.0,191.0,35.0,63.25,21.202086743497592,21.202086743497592,46.00958827090316,92.01917654180632,14.932387580719125,15.85614991992485,8.962441866402527,10.72978895101679,11.409306739368533,12.720012220414944,19.259644898582906,19.747682071159012,5.756190315769248,5.756190315769248,16.285978855404565,32.57195771080913,-1.46355892003981,-1.372281119160442,-0.6995203735083306,-0.3867154597052502,-0.690796095621996,-0.5244401115904127,-2.3517029549524477,-2.2646152085071503,0.0,0.0,0.0,0.0,0.0,0.0
CGC 1,2025-01-01,1.0,33.0,-63.2234005,-32.3956983,3328.1544986604035,273.32137763963215,2613.166033251738,4.4454326674666005,27.002264586956063,16.22667901229596,20.852951764945914,32.85734536928457,-0.8220068192583894,0.4318317650464707,0.4293236896851957,0.8528885499626543,0.060484538160130594,1,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,12.0,28.0,219.0,1.0,11.0,16.0,191.0,54.75,0.0008647983777336776,0.0008647983777336776,10.601475770937663,21.202951541875326,21.37155008314954,18.151968831934333,12.475355059822757,10.718898463112644,14.412424201212946,12.91086547029074,29.030206028728458,24.144925463655678,-37.293629837439056,-37.293629837439056,-15.768719760834905,-31.53743952166981,3.056721051523159,0.7965810657416745,4.193371174322592,1.7469254004071306,2.1854056329620786,0.7473047686700414,3.4877645546616223,0.5680307998545873,1.0,0.0,2.0,1.0,3.0,3.0
