municerca,fecha_agg,sexo,edad_diagnostico,lon,lat,distancia_rio,distancia_verde_m,distancia_grande_m,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom,casos,Estimación poblacional,Superficie (Km cuadrados),Proximidad al río (m) (distancia mínima),Proximidad al río (m) (distancia al centroide),Proximidad al río (m) (distancia máxima),Densidad poblacional,CALMAT I,CALMAT II,CALMAT III,CALMAT IV,CALMAT V,Hogares Pobres,Hogares Pobres No Indigentes,Hogares Indigentes,Personas Pobres,Personas Pobres No Indigentes,Personas Indigentes,UNEA: Sin Instrucción,UNEA: Primario Incompleto,UNEA: Primario Completo,UNEA: Secundario Incompleto,UNEA: Secundario Completo,UNEA: Superior y/o Universitario Incompleto,UNEA: Superior y/o Universitario Completo,Acceso a Cloacas,Acceso a Gas de Red,Acceso a Agua de Red,Acceso a Electricidad,Mujeres (%),Varones (%),Mujeres de 0 a 6 años,Varones de 0 a 6 años,Personas de 0 a 6 años,Mujeres de 7 a 14 años,Varones de 7 a 14 años,Personas de 7 a 14 años,Mujeres de 15 a 24 años,Varones de 15 a 24 años,Personas de 15 a 24 años,Mujeres de 25 a 59 años,Varones de 25 a 59 años,Personas de 25 a 59 años,Mujeres de 60 años o más,Varones de 60 años o más,Personas de 60 años o más,casos_sum_2w,casos_sum_3w,casos_sum_4w,casos_lag_1,casos_lag_2,casos_lag_3,casos_lag_4,casos_ma_4,tp_mean_1w,tp_sum_1w,tp_mean_2w,tp_sum_2w,t2m_mean_1w,t2m_mean_2w,d2m_mean_1w,d2m_mean_2w,t2m_min_mean_1w,t2m_min_mean_2w,t2m_max_mean_1w,t2m_max_mean_2w,tp_anom_mean_1w,tp_anom_sum_1w,tp_anom_mean_2w,tp_anom_sum_2w,t2m_anom_mean_1w,t2m_anom_mean_2w,d2m_anom_mean_1w,d2m_anom_mean_2w,t2m_min_anom_mean_1w,t2m_min_anom_mean_2w,t2m_max_anom_mean_1w,t2m_max_anom_mean_2w,vec_lag1,vec_lag2,vec_lag3,vec_sum_2w,vec_sum_3w,Vecinos_total
CGC 1,2024-01,1.0,41.5,-63.2303152,-32.3960078,3059.782386196736,473.7358933927719,2347.6404694736234,0.013978593513271756,24.158699590713532,15.55841542860898,18.441833503021392,29.686771508492885,-7.3057156141076245,-2.934995550306743,-2.818390830546292,-3.2624958514010425,-2.760868683448147,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,,,,,,,,,0.013978593513271756,0.013978593513271756,28.0689223571131,56.1378447142262,24.158699590713532,24.85431005201482,15.55841542860898,17.645380497726446,18.441833503021392,19.96959406394165,29.686771508492885,30.220892089523943,-7.3057156141076245,-7.3057156141076245,-0.9015889556858983,-1.8031779113717965,-2.934995550306743,-1.1225098686511814,-2.818390830546292,-0.5062088552698146,-3.2624958514010425,-1.0073022281241704,-2.760868683448147,-1.095879293610202,3.0,,,,,
CGC 1,2024-02,0.4166666666666667,30.166666666666668,-63.230487016666665,-32.39583230833333,3078.6086948488155,416.17067058871595,2338.9422310692703,56.123866120712925,25.54992051331611,19.73234556684391,21.497354624861902,30.755012670555,5.502537702735828,0.6899758130043804,1.8059731200066629,1.2478913951527015,0.5691100962277427,12,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,,,,2.0,,,,,0.013978593513271756,0.013978593513271756,28.0689223571131,56.1378447142262,24.158699590713532,24.85431005201482,15.55841542860898,17.645380497726446,18.441833503021392,19.96959406394165,29.686771508492885,30.220892089523943,-7.3057156141076245,-7.3057156141076245,-0.9015889556858983,-1.8031779113717965,-2.934995550306743,-1.1225098686511814,-2.818390830546292,-0.5062088552698146,-3.2624958514010425,-1.0073022281241704,-2.760868683448147,-1.095879293610202,29.0,3.0,,32.0,,
CGC 1,2024-03,0.4666666666666667,35.01904761904762,-63.22787188190476,-32.39647975904762,3097.7412073785526,368.8251305366944,2518.72283295392,33.48080202058759,23.23302082988465,17.418674033107745,19.31953326780635,27.988712733107423,-6.460682901948026,1.9066430673979555,2.596505390024224,2.0135681049942655,2.033720128372387,105,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,14.0,,,12.0,2.0,,,,56.123866120712925,56.123866120712925,28.0689223571131,56.1378447142262,25.54992051331611,24.85431005201482,19.73234556684391,17.645380497726446,21.497354624861902,19.96959406394165,30.755012670555,30.220892089523943,5.502537702735828,5.502537702735828,-0.9015889556858983,-1.8031779113717965,0.6899758130043804,-1.1225098686511814,1.8059731200066629,-0.5062088552698146,1.2478913951527015,-1.0073022281241704,0.5691100962277427,-1.095879293610202,115.0,29.0,3.0,144.0,147.0,147.0
CGC 1,2024-04,0.4472049689440994,29.229813664596275,-63.228466122360246,-32.39608396086956,3119.5343974078455,354.4045696370358,2453.218060286022,62.833905050738466,18.753845387776963,13.493203248518173,14.903481832265395,23.264456473223017,40.74491728827939,0.4767841838999941,1.3270748131266017,0.7832671359433094,0.01400107260998681,161,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,117.0,119.0,,105.0,12.0,2.0,,,33.48080202058759,33.48080202058759,44.80233407065026,89.60466814130052,23.23302082988465,24.39147067160038,17.418674033107745,18.575509799975826,19.31953326780635,20.408443946334124,27.988712733107423,29.371862701831212,-6.460682901948026,-6.460682901948026,-0.47907259960609894,-0.9581451992121979,1.9066430673979555,1.298309440201168,2.596505390024224,2.2012392550154436,2.0135681049942655,1.6307297500734834,2.033720128372387,1.301415112300065,298.0,115.0,29.0,413.0,442.0,442.0
CGC 1,2024-05,0.0,30.25,-63.22619335,-32.3950273,3306.400342577072,288.00159585956845,2439.0016704894224,53.4388649152465,13.5496513012441,8.169845195975272,10.7494894003795,17.4680806571889,43.3175920384848,-1.9204165124172632,-0.5045300241645488,-0.5853487886395958,-2.9689247885033745,4,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,266.0,278.0,280.0,161.0,105.0,12.0,2.0,70.0,62.833905050738466,62.833905050738466,48.15735353566303,96.31470707132605,18.753845387776963,20.993433108830807,13.493203248518173,15.45593864081296,14.903481832265395,17.111507550035874,23.264456473223017,25.62658460316522,40.74491728827939,40.74491728827939,17.14211719316568,34.28423438633136,0.4767841838999941,1.1917136256489749,1.3270748131266017,1.961790101575413,0.7832671359433094,1.3984176204687873,0.01400107260998681,1.023860600491187,415.0,298.0,115.0,713.0,828.0,828.0
CGC 1,2024-10,0.0,56.0,-63.2329478,-32.3980995,2765.5736616965473,616.7072152172404,2501.839113320787,0.0008647983777336776,21.37155008314954,12.475355059822757,14.412424201212946,29.030206028728458,-37.293629837439056,3.056721051523159,4.193371174322592,2.1854056329620786,3.4877645546616223,1,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,165.0,270.0,282.0,4.0,161.0,105.0,12.0,70.5,53.4388649152465,53.4388649152465,58.13638498299248,116.27276996598496,13.5496513012441,16.15174834451053,8.169845195975272,10.831524222246722,10.7494894003795,12.826485616322447,17.4680806571889,20.366268565205957,43.3175920384848,43.3175920384848,42.03125466338209,84.06250932676419,-1.9204165124172632,-0.7218161642586345,-0.5045300241645488,0.4112723944810264,-0.5853487886395958,0.0989591736518568,-2.9689247885033745,-1.4774618579466938,0.0,0.0,1.0,0.0,1.0,1.0
CGC 1,2025-01,0.5,20.5,-63.227142099999995,-32.3985876,2895.172215398683,320.7429415595851,2763.286917218259,3.938514106608811,27.280003276200524,18.668567965093025,21.749855485050524,32.430259446828316,-1.7347345473565263,0.4833918990294118,0.44740848990272913,0.5574559605434567,0.306762437550969,2,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,5.0,166.0,271.0,1.0,4.0,161.0,105.0,67.75,0.0008647983777336776,0.0008647983777336776,26.719864856812116,53.43972971362423,21.37155008314954,17.46060069219682,12.475355059822757,10.322600127899015,14.412424201212946,12.580956800796223,29.030206028728458,23.24914334295868,-37.293629837439056,-37.293629837439056,3.0119811005228705,6.023962201045741,3.056721051523159,0.568152269552948,4.193371174322592,1.8444205750790215,2.1854056329620786,0.8000284221612414,3.4877645546616223,0.2594198830791239,2.0,2.0,0.0,4.0,4.0,4.0
CGC 1,2025-03,0.25,20.5,-63.231211175,-32.3955106,3088.4874623245237,363.1321187288278,2271.5512530869432,2.6269143500955456,21.785154775478993,15.745313322117852,17.636634435085696,26.887533071397176,-21.225636099386133,0.23356093138312473,1.130977085799899,0.1586862674967209,0.6132927895503861,4,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,3.0,7.0,168.0,2.0,1.0,4.0,161.0,42.0,3.938514106608811,3.938514106608811,1.9696894524932724,3.939378904986545,27.280003276200524,24.32577667967503,18.668567965093025,15.571961512457893,21.749855485050524,18.081139843131734,32.430259446828316,30.730232737778387,-1.7347345473565263,-1.7347345473565263,-19.51418219239779,-39.02836438479558,0.4833918990294118,1.7700564752762855,0.44740848990272913,2.3203898321126606,0.5574559605434567,1.3714307967527677,0.306762437550969,1.8972634961062957,10.0,1.0,2.0,11.0,13.0,13.0
CGC 1,2025-04,0.25,23.25,-63.226510475,-32.395250325,3275.44698035722,310.4868343594835,2464.603317998545,21.71394094186505,16.39783827753112,12.02425873417641,13.186577991534799,20.300280457464222,0.9166001967658259,-2.143985125509448,-1.1887738061714306,-1.2678100971153734,-2.9957256392697182,4,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,6.0,7.0,11.0,4.0,2.0,1.0,4.0,2.75,2.6269143500955456,2.6269143500955456,3.2827142283521784,6.565428456704357,21.785154775478993,24.53257902583976,15.745313322117852,17.206940643605442,17.636634435085696,19.693244960068107,26.887533071397176,29.658896259112744,-21.225636099386133,-21.225636099386133,-11.48018532337133,-22.96037064674266,0.23356093138312473,0.3584764152062683,1.130977085799899,0.7891927878513141,0.1586862674967209,0.3580711140200888,0.6132927895503861,0.46002761355067756,21.0,10.0,1.0,31.0,32.0,32.0
CGC 1,2025-05,0.0,26.666666666666668,-63.23022726666667,-32.3943178,3242.368903337018,331.0110014596735,2175.007278496148,3.8647411014084256,18.84927951015638,16.111364344410962,15.98115875531834,22.488808687694405,0.017415458691691126,3.233679750736615,5.968685347159237,4.279749747433502,2.273569339459454,3,4340,120.237673,2357.74,3151.33,3942.54,36.095176259773424,81.82,15.15,3.03,0,0,30.3,27.27,3.03,32.93,29.27,3.66,4.62,20.0,20.0,20.0,26.15,3.08,6.15,93.94,78.79,100.0,100.0,43.21,56.79,1.23,2.47,3.7,1.23,4.94,6.17,6.17,12.35,18.52,18.52,22.23,40.75,16.05,14.81,30.86,8.0,10.0,11.0,4.0,4.0,2.0,1.0,2.75,21.71394094186505,21.71394094186505,12.170427645980299,24.340855291960597,16.39783827753112,19.091496526505058,12.02425873417641,13.884786028147133,13.186577991534799,15.411606213310247,20.300280457464222,23.5939067644307,0.9166001967658259,0.9166001967658259,-10.154517951310153,-20.309035902620305,-2.143985125509448,-0.9552120970631617,-1.1887738061714306,-0.028898360185765748,-1.2678100971153734,-0.5545619148093263,-2.9957256392697182,-1.191216424859666,15.0,21.0,10.0,36.0,46.0,46.0
