o,d,w
CGC 1,MUNICERCA 3,1.0
CGC 1,MUNICERCA 4,1.0
CGC 2,MUNICERCA 5,3.0
MUNICERCA 1,MUNICERCA 2,1.0
MUNICERCA 1,ZONA CENTRAL,2.0
MUNICERCA 2,MUNICERCA 1,1.0
MUNICERCA 2,MUNICERCA 3,1.0
MUNICERCA 2,ZONA CENTRAL,2.0
MUNICERCA 3,CGC 1,1.0
MUNICERCA 3,MUNICERCA 2,2.0
MUNICERCA 3,MUNICERCA 4,2.0
MUNICERCA 3,ZONA CENTRAL,5.0
MUNICERCA 4,CGC 1,2.0
MUNICERCA 4,MUNICERCA 3,6.0
MUNICERCA 4,MUNICERCA 5,3.0
MUNICERCA 4,ZONA CENTRAL,3.0
MUNICERCA 5,CGC 2,2.0
MUNICERCA 5,MUNICERCA 4,4.0
MUNICERCA 5,ZONA CENTRAL,1.0
ZONA CENTRAL,CGC 2,2.0
ZONA CENTRAL,MUNICERCA 1,2.0
ZONA CENTRAL,MUNICERCA 2,1.0
ZONA CENTRAL,MUNICERCA 3,2.0
ZONA CENTRAL,MUNICERCA 4,5.0
ZONA CENTRAL,MUNICERCA 5,2.0
