y_true,y_pred
6.0,6.0049443
6.0,6.1526594
5.0,5.1717954
13.0,13.088692
11.0,10.96713
11.0,10.931069
10.0,10.035558
13.0,12.963308
15.0,14.910554
8.0,7.9789405
12.0,11.898404
8.0,8.157334
8.0,8.01815
7.0,6.9422545
13.0,12.7691345
11.0,10.98114
12.0,11.944247
10.0,10.10664
15.0,14.795066
11.0,10.99988
17.0,16.878532
9.0,9.035388
12.0,11.981514
9.0,9.063604
14.0,13.862436
9.0,8.80083
12.0,12.010007
9.0,9.050494
13.0,13.012273
9.0,9.038133
8.0,8.021072
8.0,8.210557
14.0,13.858015
14.0,13.994582
7.0,7.1237655
12.0,11.993969
9.0,9.176226
9.0,8.984159
10.0,9.9766655
17.0,16.832182
8.0,8.006533
17.0,16.903679
13.0,13.026769
8.0,8.113804
17.0,16.941061
11.0,11.040625
9.0,8.986493
19.0,18.873842
12.0,12.033966
14.0,13.871575
17.0,16.852053
6.0,6.1649666
10.0,10.140619
11.0,10.871232
6.0,6.000651
10.0,9.893332
9.0,9.0587845
5.0,5.2325697
13.0,13.040144
8.0,8.194292
7.0,7.054253
13.0,12.886579
11.0,10.985764
9.0,9.000396
8.0,8.141894
11.0,10.922381
16.0,15.931349
8.0,7.973201
8.0,7.9760275
9.0,9.062531
5.0,5.1613955
8.0,8.009387
7.0,7.2076936
10.0,10.090782
7.0,7.2992425
7.0,7.184166
10.0,10.012338
8.0,7.959297
10.0,9.982674
7.0,7.050635
10.0,9.781907
7.0,7.161219
6.0,6.04163
8.0,7.937239
11.0,10.969084
9.0,9.252476
4.0,4.151997
7.0,6.906509
6.0,6.107376
10.0,9.900594
11.0,10.754999
9.0,8.950319
15.0,14.896622
6.0,6.0021014
9.0,8.953937
4.0,4.0861397
7.0,7.093375
4.0,4.037871
5.0,4.9724326
7.0,6.8926625
5.0,5.0784645
8.0,8.088774
8.0,8.112274
8.0,8.051284
5.0,4.9980364
10.0,10.0072155
13.0,13.037568
8.0,8.017487
9.0,8.995882
3.0,3.1897767
7.0,7.0732822
8.0,7.9820333
6.0,5.978941
13.0,12.86799
10.0,10.0029
4.0,4.03764
4.0,3.979722
12.0,11.873933
8.0,7.956638
10.0,9.952643
5.0,5.0409565
8.0,8.076435
9.0,8.914822
21.0,20.745539
11.0,10.998503
9.0,9.022802
4.0,3.96616
14.0,13.815221
10.0,9.94447
4.0,4.0806475
6.0,5.936385
5.0,5.0820837
6.0,6.0214105
7.0,7.0151434
14.0,13.778552
8.0,8.014763
6.0,6.2099185
7.0,7.029576
16.0,15.780468
5.0,5.0129776
9.0,9.034517
4.0,4.024559
7.0,7.22444
8.0,8.2785
4.0,4.011776
6.0,6.088827
9.0,9.037434
6.0,6.053428
8.0,7.969106
10.0,10.013615
7.0,7.019754
13.0,12.80042
6.0,5.922822
6.0,6.1174526
10.0,9.937306
10.0,9.963016
9.0,8.955182
8.0,7.951888
5.0,5.1959934
11.0,10.806633
17.0,16.79294
15.0,14.898858
10.0,9.945317
13.0,12.944162
17.0,16.787674
8.0,8.140799
14.0,13.849401
9.0,9.097237
9.0,9.096195
7.0,7.1739273
10.0,9.976509
7.0,7.008004
15.0,14.880768
10.0,10.238408
12.0,11.884276
9.0,8.94514
7.0,7.13495
8.0,8.124399
11.0,11.019167
11.0,10.796133
11.0,10.955506
12.0,11.862731
16.0,15.850583
11.0,11.138031
21.0,20.81392
16.0,15.914442
7.0,7.0217323
11.0,11.022829
11.0,10.982547
15.0,14.838847
11.0,11.002571
8.0,7.952598
12.0,12.148186
16.0,15.921065
11.0,11.100773
9.0,9.0506935
13.0,13.008753
18.0,17.97177
15.0,14.917518
11.0,10.958773
16.0,15.967215
14.0,13.936166
9.0,9.123431
14.0,13.989233
9.0,9.014889
12.0,12.114455
18.0,17.937542
9.0,9.07542
7.0,7.034215
10.0,10.038601
6.0,6.0716844
10.0,10.039561
11.0,11.044507
13.0,12.9746
17.0,16.845564
9.0,9.240068
6.0,6.1395516
11.0,10.957537
8.0,7.9607115
8.0,8.037731
12.0,11.874487
8.0,8.286453
10.0,9.95347
7.0,7.076602
7.0,7.081172
9.0,9.090053
13.0,12.822427
11.0,10.778929
9.0,9.041213
7.0,7.082476
12.0,11.867299
18.0,17.743176
11.0,10.983453
6.0,6.13643
9.0,9.046992
7.0,7.079348
13.0,12.84746
9.0,8.977214
9.0,8.996194
7.0,6.9677587
7.0,6.992212
15.0,14.778783
5.0,5.150281
7.0,7.0235033
10.0,9.879291
11.0,10.874377
7.0,7.076596
