y_true,y_pred
11.0,10.989281
8.0,8.196159
7.0,7.0993304
13.0,12.851396
11.0,11.270126
10.0,10.010605
7.0,6.885871
9.0,8.900133
12.0,11.831076
9.0,9.120403
10.0,9.97733
15.0,14.818122
10.0,10.145948
13.0,12.967818
14.0,14.029937
15.0,14.749662
8.0,8.257009
11.0,10.976798
11.0,10.9796295
13.0,12.933287
9.0,9.037108
6.0,6.2919827
11.0,10.956303
13.0,13.037796
9.0,8.978135
10.0,10.033799
15.0,14.883003
13.0,12.830551
6.0,6.106895
17.0,16.997017
7.0,7.010352
9.0,9.042866
14.0,14.036493
16.0,15.842599
12.0,11.8494625
13.0,12.8078985
11.0,11.011667
9.0,9.109054
19.0,18.901573
13.0,12.921907
11.0,10.976189
10.0,9.964133
10.0,10.232607
10.0,10.189843
15.0,14.88986
10.0,10.061605
6.0,6.1158195
17.0,16.911852
14.0,14.03957
11.0,11.062656
9.0,9.231095
10.0,9.969327
13.0,12.861225
7.0,7.0905466
14.0,13.972141
17.0,16.721497
6.0,6.2086377
7.0,7.010597
10.0,10.110216
13.0,12.776884
13.0,12.954776
12.0,11.944606
7.0,7.2692065
15.0,14.808328
14.0,14.047184
16.0,15.869054
12.0,11.970067
14.0,14.27048
18.0,17.799347
14.0,13.938494
11.0,11.106169
10.0,10.08458
6.0,6.0115886
9.0,9.028143
12.0,11.948767
9.0,8.957016
9.0,9.07848
13.0,12.88163
18.0,17.741488
9.0,9.028876
7.0,7.2390018
6.0,6.0805655
9.0,8.876361
9.0,8.928363
10.0,9.774262
4.0,3.980611
8.0,7.9813194
7.0,7.0363293
6.0,6.063473
14.0,14.014172
7.0,7.1698284
9.0,8.951285
11.0,11.003606
9.0,8.911886
4.0,4.2154684
6.0,6.033825
9.0,9.001267
8.0,8.17011
7.0,6.786263
8.0,7.9740896
8.0,8.030544
5.0,5.020819
3.0,3.1043446
6.0,6.228743
13.0,12.784078
2.0,2.0582893
5.0,5.041684
6.0,6.085055
3.0,3.0169759
8.0,7.966336
10.0,9.858174
8.0,8.047236
3.0,3.066219
7.0,6.9794283
8.0,7.931016
6.0,5.883914
12.0,11.908345
14.0,14.0202465
6.0,5.913274
4.0,4.1424985
7.0,6.9119916
4.0,4.056236
5.0,4.966977
13.0,12.907396
12.0,11.890657
14.0,13.936294
6.0,6.0027432
13.0,12.818995
7.0,7.015642
14.0,13.97358
9.0,8.948981
9.0,8.971978
10.0,9.986796
4.0,4.183434
11.0,11.046522
9.0,9.033283
5.0,5.260341
4.0,4.1718473
13.0,12.919322
7.0,7.014466
8.0,8.000815
14.0,13.835115
7.0,7.0043745
7.0,7.0883007
19.0,18.71928
7.0,6.991183
12.0,11.849676
10.0,10.070329
9.0,9.110891
6.0,6.2155957
4.0,4.259871
10.0,10.022722
6.0,6.021935
8.0,7.938854
6.0,6.2999086
6.0,6.062302
9.0,9.088085
8.0,8.077394
15.0,14.764585
14.0,13.95106
13.0,12.788855
11.0,11.009025
10.0,9.972149
16.0,15.689747
7.0,7.1470094
6.0,6.212949
8.0,8.069379
8.0,8.32754
13.0,13.016602
12.0,12.037511
13.0,12.766641
11.0,10.964688
9.0,9.055324
13.0,13.009464
10.0,10.117306
13.0,13.030233
9.0,9.093109
9.0,8.926908
7.0,7.2151194
16.0,15.85722
7.0,7.0267334
9.0,8.963445
13.0,13.05664
12.0,11.980037
9.0,9.075435
14.0,13.777875
9.0,9.124317
7.0,7.268568
7.0,7.1628246
8.0,8.1032715
10.0,10.060216
10.0,10.016406
14.0,13.834125
9.0,8.940153
8.0,8.161538
12.0,11.953909
11.0,10.95485
8.0,8.138057
12.0,12.073832
9.0,9.0057745
12.0,11.8698435
9.0,8.916322
19.0,18.838764
10.0,10.010019
22.0,21.804392
11.0,10.995602
11.0,10.975421
11.0,11.043568
17.0,16.760714
13.0,12.982814
19.0,18.767912
9.0,9.000814
16.0,15.831556
8.0,8.030701
9.0,8.980096
10.0,10.049303
11.0,11.04973
11.0,11.127846
11.0,10.758067
8.0,8.123219
8.0,8.117279
9.0,9.189296
10.0,10.314841
14.0,13.966871
13.0,12.907016
14.0,13.920006
8.0,8.182705
15.0,14.779762
11.0,11.028914
8.0,7.931479
12.0,11.946084
6.0,6.240084
12.0,11.880378
19.0,18.731758
8.0,8.047238
19.0,18.877264
6.0,6.0203714
7.0,6.9382176
8.0,8.009682
16.0,15.716503
14.0,13.813156
13.0,12.925788
9.0,9.04582
5.0,5.0971036
12.0,11.944122
8.0,7.942432
8.0,7.8825154
5.0,5.0565395
9.0,8.940832
