target,grid,dates,features,h,model,RMSE_model,MAE_macro_model,R2_model,RMSE_naive_last,R2_naive_last,RMSE_naive_seas,R2_naive_seas,gain_vs_naive_last
COUNT,MUN,14D,ALL,1,XGB-tuned,0.11067951773433653,0.08650728784890539,0.9989970956411486,4.566268328910699,-0.7082374254049446,5.372896826160775,-1.3665300690733195,4.455588811176362
COUNT,MUN,14D,ALL,2,XGB-tuned,0.08972250496100527,0.06976050523019606,0.9993404797179442,4.478016478190693,-0.6379626133688938,5.3040223473534205,-1.35024562731193,4.388293973229687
COUNT,MUN,14D,ALL,3,XGB-tuned,0.11209930671985704,0.0871487320193395,0.9989735484297956,4.50203206151698,-0.6568095613741234,5.17885246174409,-1.2405126695460753,4.3899327547971225
COUNT,MUN,14D,ALL,4,XGB-tuned,0.10296754694285679,0.08178819195041812,0.9991333252219077,4.506231513025002,-0.661212768799252,5.292476667719048,-1.328207370696985,4.403263966082145
COUNT,MUN,14D,reducido,1,XGB-tuned,0.11067951773433653,0.08650728784890539,0.9989970956411486,4.566268328910699,-0.7082374254049446,5.372896826160775,-1.3665300690733195,4.455588811176362
COUNT,MUN,14D,reducido,2,XGB-tuned,0.08972250496100527,0.06976050523019606,0.9993404797179442,4.478016478190693,-0.6379626133688938,5.3040223473534205,-1.35024562731193,4.388293973229687
COUNT,MUN,14D,reducido,3,XGB-tuned,0.11209930671985704,0.0871487320193395,0.9989735484297956,4.50203206151698,-0.6568095613741234,5.17885246174409,-1.2405126695460753,4.3899327547971225
COUNT,MUN,14D,reducido,4,XGB-tuned,0.10296754694285679,0.08178819195041812,0.9991333252219077,4.506231513025002,-0.661212768799252,5.292476667719048,-1.328207370696985,4.403263966082145
COUNT,MUN,7D,ALL,1,XGB-tuned,0.1305964612064913,0.10147984822591145,0.9986754604868323,4.62723354960398,-0.6565028378215192,5.492033917249906,-1.218189329108839,4.496637088397488
COUNT,MUN,7D,ALL,2,XGB-tuned,0.12065201007495747,0.09332771551224493,0.99887379236475,4.656630812756772,-0.673301189458293,5.159200222784101,-0.9546198311720089,4.535978802681814
COUNT,MUN,7D,ALL,3,XGB-tuned,0.118694538441866,0.09220135839361894,0.99891284372568,4.70642183660422,-0.7077391713135839,5.2730568179309625,-1.0377801420080028,4.5877272981623545
COUNT,MUN,7D,ALL,4,XGB-tuned,0.10292380132079323,0.0787891333665305,0.999183283226788,4.836088822803074,-0.8003016212140253,5.1638114269992705,-0.9566693247909408,4.7331650214822805
COUNT,MUN,7D,reducido,1,XGB-tuned,0.1305964612064913,0.10147984822591145,0.9986754604868323,4.62723354960398,-0.6565028378215192,5.492033917249906,-1.218189329108839,4.496637088397488
COUNT,MUN,7D,reducido,2,XGB-tuned,0.12065201007495747,0.09332771551224493,0.99887379236475,4.656630812756772,-0.673301189458293,5.159200222784101,-0.9546198311720089,4.535978802681814
COUNT,MUN,7D,reducido,3,XGB-tuned,0.118694538441866,0.09220135839361894,0.99891284372568,4.70642183660422,-0.7077391713135839,5.2730568179309625,-1.0377801420080028,4.5877272981623545
COUNT,MUN,7D,reducido,4,XGB-tuned,0.10292380132079323,0.0787891333665305,0.999183283226788,4.836088822803074,-0.8003016212140253,5.1638114269992705,-0.9566693247909408,4.7331650214822805
